strategy,events_raw,events_kept,events_purged,family,symbol,source_file,horizon_ms,meta_symbol,meta_direction,meta_ret_threshold,meta_oi_threshold,meta_entry_delay_min,meta_exit_hold_h,meta_n_events,meta_mean_net_bp,meta_median_net_bp,meta_win_rate,meta_std_bp,meta_t_stat,meta_null_percentile,meta_edge_vs_null_bp,meta_exploratory_uncorrected_flag,meta_inference_scope,meta_year_breakdown
btc_long_ret-2_oi-2_entry0_exit24h,121,110,11,liq_reversion,BTCUSDT,events_btc_long_ret-2_oi-2_entry0_exit24h.csv,86400000,BTCUSDT,long,-0.02,-0.02,0.0,24.0,121.0,53.17077579911119,45.03753927567257,0.5950413223140496,284.6276414999149,2.054890138948076,98.5,54.20552614499681,True,exploratory_uncorrected,"{""2021"": {""n"": 0, ""mean_bp"": null}, ""2022"": {""n"": 0, ""mean_bp"": null}, ""2023"": {""n"": 42, ""mean_bp"": 18.917785939707453}, ""2024"": {""n"": 47, ""mean_bp"": 58.7972505028043}, ""2025"": {""n"": 25, ""mean_bp"": 61.15130544262014}, ""2026"": {""n"": 7, ""mean_bp"": 192.40906464677641}}"
btc_long_ret-2_oi-2_entry0_exit72h,121,89,32,liq_reversion,BTCUSDT,events_btc_long_ret-2_oi-2_entry0_exit72h.csv,259200000,BTCUSDT,long,-0.02,-0.02,0.0,72.0,121.0,98.80716698228082,79.31644749997592,0.6198347107438017,419.32792584043705,2.591954338902458,94.5,71.57684522045639,False,exploratory_uncorrected,"{""2021"": {""n"": 0, ""mean_bp"": null}, ""2022"": {""n"": 0, ""mean_bp"": null}, ""2023"": {""n"": 42, ""mean_bp"": 129.5628017921505}, ""2024"": {""n"": 47, ""mean_bp"": 91.48450751535984}, ""2025"": {""n"": 25, ""mean_bp"": 72.77222199291973}, ""2026"": {""n"": 7, ""mean_bp"": 56.42173236296505}}"
btc_long_ret-2_oi-2_entry30_exit4h,121,121,0,liq_reversion,BTCUSDT,events_btc_long_ret-2_oi-2_entry30_exit4h.csv,14400000,BTCUSDT,long,-0.02,-0.02,30.0,4.0,121.0,3.2126200902575013,2.1361450913632964,0.5206611570247934,129.8235573331621,0.2722065372322498,97.5,15.496644111921682,True,exploratory_uncorrected,"{""2021"": {""n"": 0, ""mean_bp"": null}, ""2022"": {""n"": 0, ""mean_bp"": null}, ""2023"": {""n"": 42, ""mean_bp"": 10.558083511192908}, ""2024"": {""n"": 47, ""mean_bp"": -7.108849123214629}, ""2025"": {""n"": 25, ""mean_bp"": -16.302274079795424}, ""2026"": {""n"": 7, ""mean_bp"": 98.13718346243265}}"
btc_long_ret-2_oi-2_entry30_exit24h,121,110,11,liq_reversion,BTCUSDT,events_btc_long_ret-2_oi-2_entry30_exit24h.csv,86400000,BTCUSDT,long,-0.02,-0.02,30.0,24.0,121.0,40.35475446191786,18.206046015126333,0.5785123966942148,281.3560973898408,1.5777241126075023,96.0,41.305188260673546,True,exploratory_uncorrected,"{""2021"": {""n"": 0, ""mean_bp"": null}, ""2022"": {""n"": 0, ""mean_bp"": null}, ""2023"": {""n"": 42, ""mean_bp"": 33.679047767}, ""2024"": {""n"": 47, ""mean_bp"": 40.78493539729171}, ""2025"": {""n"": 25, ""mean_bp"": 14.348262352255208}, ""2026"": {""n"": 7, ""mean_bp"": 170.40096588556716}}"
btc_long_ret-2_oi-2_entry30_exit72h,121,89,32,liq_reversion,BTCUSDT,events_btc_long_ret-2_oi-2_entry30_exit72h.csv,259200000,BTCUSDT,long,-0.02,-0.02,30.0,72.0,121.0,85.13522540126725,59.03508544883597,0.6115702479338843,430.0788793339208,2.1774784217823315,94.0,63.070246959727605,False,exploratory_uncorrected,"{""2021"": {""n"": 0, ""mean_bp"": null}, ""2022"": {""n"": 0, ""mean_bp"": null}, ""2023"": {""n"": 42, ""mean_bp"": 136.91939589979833}, ""2024"": {""n"": 47, ""mean_bp"": 77.83702973129374}, ""2025"": {""n"": 25, ""mean_bp"": 29.471857258518877}, ""2026"": {""n"": 7, ""mean_bp"": 22.23011670400404}}"
btc_long_ret-2_oi-2_entry60_exit4h,121,121,0,liq_reversion,BTCUSDT,events_btc_long_ret-2_oi-2_entry60_exit4h.csv,14400000,BTCUSDT,long,-0.02,-0.02,60.0,4.0,121.0,-1.6019420812441156,8.464765604803816,0.5371900826446281,140.13458545363312,-0.1257459950849586,89.0,9.611426645262462,False,exploratory_uncorrected,"{""2021"": {""n"": 0, ""mean_bp"": null}, ""2022"": {""n"": 0, ""mean_bp"": null}, ""2023"": {""n"": 42, ""mean_bp"": 7.13866536748187}, ""2024"": {""n"": 47, ""mean_bp"": -6.7916808704358385}, ""2025"": {""n"": 25, ""mean_bp"": -22.34077291048607}, ""2026"": {""n"": 7, ""mean_bp"": 54.867055201122795}}"
btc_long_ret-2_oi-2_entry60_exit24h,121,110,11,liq_reversion,BTCUSDT,events_btc_long_ret-2_oi-2_entry60_exit24h.csv,86400000,BTCUSDT,long,-0.02,-0.02,60.0,24.0,121.0,28.59263772003434,22.12121584217087,0.5454545454545454,282.7570001352461,1.1123297204664764,87.5,26.44658975064582,False,exploratory_uncorrected,"{""2021"": {""n"": 0, ""mean_bp"": null}, ""2022"": {""n"": 0, ""mean_bp"": null}, ""2023"": {""n"": 42, ""mean_bp"": 20.545254177508653}, ""2024"": {""n"": 47, ""mean_bp"": 36.061611045505764}, ""2025"": {""n"": 25, ""mean_bp"": -2.0130695113780614}, ""2026"": {""n"": 7, ""mean_bp"": 136.0342153306389}}"
btc_long_ret-2_oi-2_entry60_exit72h,121,89,32,liq_reversion,BTCUSDT,events_btc_long_ret-2_oi-2_entry60_exit72h.csv,259200000,BTCUSDT,long,-0.02,-0.02,60.0,72.0,121.0,70.10386739757,73.84883884880745,0.5950413223140496,436.37147630870174,1.7671699073835463,90.5,46.00333413779794,False,exploratory_uncorrected,"{""2021"": {""n"": 0, ""mean_bp"": null}, ""2022"": {""n"": 0, ""mean_bp"": null}, ""2023"": {""n"": 42, ""mean_bp"": 119.69042773521625}, ""2024"": {""n"": 47, ""mean_bp"": 72.47887556462904}, ""2025"": {""n"": 25, ""mean_bp"": 21.31300142539276}, ""2026"": {""n"": 7, ""mean_bp"": -69.10888527792835}}"
btc_long_ret-2_oinone_entry0_exit4h,670,670,0,liq_reversion,BTCUSDT,events_btc_long_ret-2_oinone_entry0_exit4h.csv,14400000,BTCUSDT,long,-0.02,,0.0,4.0,670.0,-7.609564937206784,1.8458805496553,0.5044776119402985,229.46170219836105,-0.858394681021479,84.0,5.171709408141776,False,exploratory_uncorrected,"{""2021"": {""n"": 240, ""mean_bp"": 0.6255985166127601}, ""2022"": {""n"": 146, ""mean_bp"": -45.08196398837049}, ""2023"": {""n"": 59, ""mean_bp"": 16.320666716507432}, ""2024"": {""n"": 112, ""mean_bp"": 7.502364069472756}, ""2025"": {""n"": 72, ""mean_bp"": -16.706658032076888}, ""2026"": {""n"": 41, ""mean_bp"": 17.88072821075935}}"
btc_long_ret-2_oinone_entry0_exit24h,670,501,169,liq_reversion,BTCUSDT,events_btc_long_ret-2_oinone_entry0_exit24h.csv,86400000,BTCUSDT,long,-0.02,,0.0,24.0,670.0,18.33899359644092,16.560135028887547,0.5253731343283582,422.2964718771157,1.1240754093235374,99.5,24.637696176568717,True,exploratory_uncorrected,"{""2021"": {""n"": 240, ""mean_bp"": 48.449248205110244}, ""2022"": {""n"": 146, ""mean_bp"": -71.79708627207988}, ""2023"": {""n"": 59, ""mean_bp"": 68.43948121292975}, ""2024"": {""n"": 112, ""mean_bp"": 46.8136396785052}, ""2025"": {""n"": 72, ""mean_bp"": 28.979757028546057}, ""2026"": {""n"": 41, ""mean_bp"": -5.5102147682471285}}"
