strategy,family,symbol,bucket,scope,events,months,eligible,mean_bp,ci_low_bp,ci_high_bp,p_positive,p_two_sided,oos_bh_q,oos_by_q,oos_family_bh_q,oos_family_by_q,primary_selection,selected_strategy,oos_fdr_significant,selected_oos_fdr_significant
btc_long_ret-2_oi-1_entry30_exit4h,liq_reversion,BTCUSDT,all,primary,41,12,True,-3.7954619314590072,-47.32629698152792,41.8041436883193,0.5637181409295352,0.8710644677661169,1.0,1.0,1.0,1.0,False,False,False,False
btc_long_ret-2_oi-1_entry30_exit4h,liq_reversion,BTCUSDT,uptrend,primary,16,8,True,13.60851594720608,-30.72254051865402,81.54754896883294,0.33383308345827084,0.6206896551724138,1.0,1.0,1.0,1.0,False,False,False,False
btc_long_ret-2_oi-1_entry30_exit4h,liq_reversion,BTCUSDT,downtrend,primary,25,6,True,-14.93400777380466,-88.54098733563879,47.778021694189505,0.6471764117941029,0.6986506746626686,1.0,1.0,1.0,1.0,False,False,False,False
btc_long_ret-2_oi-1_entry30_exit4h,liq_reversion,BTCUSDT,uptrend_low_vol,exploratory,15,8,True,12.140820019492216,-46.7546736472564,80.08355811805698,0.3778110944527736,0.6926536731634183,1.0,1.0,1.0,1.0,False,False,False,False
btc_long_ret-2_oi-1_entry30_exit4h,liq_reversion,BTCUSDT,uptrend_high_vol,exploratory,1,1,False,35.62395486291405,35.62395486291405,35.62395486291405,0.0004997501249375312,0.0004997501249375312,,,,,False,False,False,False
btc_long_ret-2_oi-1_entry30_exit4h,liq_reversion,BTCUSDT,downtrend_low_vol,exploratory,11,5,True,-65.58110995525122,-123.12884102647395,58.78030202383997,0.9930034982508745,0.13043478260869565,1.0,1.0,1.0,1.0,False,False,False,False
btc_long_ret-2_oi-1_entry30_exit4h,liq_reversion,BTCUSDT,downtrend_high_vol,exploratory,14,3,False,24.860143940189065,-28.926493362993895,62.8489043832038,0.14592703648175911,0.4097951024487756,,,,,False,False,False,False
btc_long_ret-2_oi-1_entry30_exit24h,liq_reversion,BTCUSDT,all,primary,39,12,True,88.08769634609517,34.533382688374964,164.75553931343362,0.009495252373813094,0.009495252373813094,0.2725137431284358,1.0,0.2638680659670165,1.0,False,False,False,False
btc_long_ret-2_oi-1_entry30_exit24h,liq_reversion,BTCUSDT,uptrend,primary,15,8,True,163.42177010845742,43.161550087597355,369.49085202290615,0.04897551224387806,0.04897551224387806,0.7796614513256193,1.0,0.7360530261185197,1.0,False,False,False,False
btc_long_ret-2_oi-1_entry30_exit24h,liq_reversion,BTCUSDT,downtrend,primary,24,6,True,41.003900244618706,-1.4811650859803427,73.9730417711798,0.01649175412293853,0.04097951024487756,0.41157682028550946,1.0,0.3958020989505248,1.0,False,False,False,False
btc_long_ret-2_oi-1_entry30_exit24h,liq_reversion,BTCUSDT,uptrend_low_vol,exploratory,14,8,True,160.80025098437,45.30620983968875,365.49554227274825,0.051974012993503245,0.05347326336831584,0.7171414292853573,1.0,0.6521739130434783,1.0,False,False,False,False
btc_long_ret-2_oi-1_entry30_exit24h,liq_reversion,BTCUSDT,uptrend_high_vol,exploratory,1,1,False,200.12303784568155,200.12303784568155,200.12303784568155,0.0004997501249375312,0.0004997501249375312,,,,,False,False,False,False
btc_long_ret-2_oi-1_entry30_exit24h,liq_reversion,BTCUSDT,downtrend_low_vol,exploratory,11,5,True,-26.891075348839923,-220.3699202340097,71.617964999109,0.672663668165917,0.6586706646676662,1.0,1.0,1.0,1.0,False,False,False,False
btc_long_ret-2_oi-1_entry30_exit24h,liq_reversion,BTCUSDT,downtrend_high_vol,exploratory,13,3,False,98.45349497754525,70.06047098620806,131.8615938340444,0.0004997501249375312,0.0004997501249375312,,,,,False,False,False,False
btc_long_ret-2_oi-1_entry30_exit72h,liq_reversion,BTCUSDT,all,primary,26,12,True,82.7663046862052,-52.75442458380539,207.24027982422623,0.111944027986007,0.2223888055972014,1.0,1.0,1.0,1.0,False,False,False,False
btc_long_ret-2_oi-1_entry30_exit72h,liq_reversion,BTCUSDT,uptrend,primary,13,8,True,169.49646759905434,70.29933227213229,303.34641534220236,0.006496751624187906,0.006496751624187906,0.24860902881892386,1.0,0.24502034696937244,1.0,False,False,False,False
btc_long_ret-2_oi-1_entry30_exit72h,liq_reversion,BTCUSDT,downtrend,primary,13,6,True,-3.963858226643971,-396.64260335305545,243.99463215280394,0.5067466266866567,0.9720139930034982,1.0,1.0,1.0,1.0,False,False,False,False
btc_long_ret-2_oi-1_entry30_exit72h,liq_reversion,BTCUSDT,uptrend_low_vol,exploratory,12,8,True,169.1743978331356,69.70964029151418,309.4538697141484,0.012993503248375811,0.012993503248375811,0.37291354322838577,1.0,0.3391304347826087,1.0,False,False,False,False
btc_long_ret-2_oi-1_entry30_exit72h,liq_reversion,BTCUSDT,uptrend_high_vol,exploratory,1,1,False,173.36130479007906,173.36130479007906,173.36130479007906,0.0004997501249375312,0.0004997501249375312,,,,,False,False,False,False
btc_long_ret-2_oi-1_entry30_exit72h,liq_reversion,BTCUSDT,downtrend_low_vol,exploratory,7,5,False,-85.50704246442807,-646.437313165627,229.8992406767918,0.632183908045977,0.7131434282858571,,,,,False,False,False,False
btc_long_ret-2_oi-1_entry30_exit72h,liq_reversion,BTCUSDT,downtrend_high_vol,exploratory,6,3,False,91.16985671743747,-256.7658685813317,266.1171833741911,0.29235382308845576,0.5422288855572214,,,,,False,False,False,False
btc_long_ret-2_oi-1_entry60_exit4h,liq_reversion,BTCUSDT,all,primary,41,12,True,-17.49757739154626,-52.78971637722198,16.238105955116172,0.8275862068965517,0.32533733133433285,1.0,1.0,1.0,1.0,False,False,False,False
btc_long_ret-2_oi-1_entry60_exit4h,liq_reversion,BTCUSDT,uptrend,primary,16,8,True,-6.937509642070696,-47.53238787402431,44.36723279094543,0.6046976511744128,0.7511244377811095,1.0,1.0,1.0,1.0,False,False,False,False
btc_long_ret-2_oi-1_entry60_exit4h,liq_reversion,BTCUSDT,downtrend,primary,25,6,True,-24.256020751210613,-86.95720647911844,22.27120277972165,0.776111944027986,0.39780109945027486,1.0,1.0,1.0,1.0,False,False,False,False
btc_long_ret-2_oi-1_entry60_exit4h,liq_reversion,BTCUSDT,uptrend_low_vol,exploratory,15,8,True,-4.577891206368446,-48.398178549801656,45.9733791604549,0.5697151424287856,0.8425787106446777,1.0,1.0,1.0,1.0,False,False,False,False
