date,nav,ret,funding_pnl,basis_pnl,cost
2021-01-02,1500208.0041243092,0.0001386694162060603,1456.4905741228772,651.5135501862133,1900.0
2021-01-03,1503968.0969403682,0.0025067285440394187,4322.965066900317,-562.8722508411884,0.0
2021-01-04,1508026.91973545,0.0027058818633878892,5147.0652085797965,-1088.2424134979628,0.0
2021-01-05,1510673.5167470109,0.0017643980077072035,2166.5702827998375,480.02672876096767,0.0
2021-01-06,1515965.1287700234,0.0035277413486750073,5638.676802756063,-347.0647797435522,0.0
2021-01-07,1520051.0131063457,0.0027239228908815835,4305.1010881639995,-219.2167518416245,0.0
2021-01-08,1525620.2977297942,0.003712856415632223,5890.779797611458,-321.495174163123,0.0
2021-01-09,1529929.0896623242,0.002872527955020045,3835.24283718298,473.54909534708713,0.0
2021-01-10,1534437.6556251564,0.003005710641888074,4368.103596177515,140.46236665459583,0.0
2021-01-11,1537248.4892334468,0.0018738890721937112,2884.474072361984,-73.64046407141723,0.0
2021-01-12,1540752.2426933285,0.0023358356399210767,1681.8338302655488,1821.9196296160662,0.0
2021-01-13,1541329.1822845011,0.0003846263941150857,1252.9999627161058,-676.0603715434772,0.0
2021-01-14,1543154.3159769704,0.0012167557949794537,2799.50612911628,-974.3724366470997,0.0
2021-01-15,1547251.746442903,0.002731620310621855,3181.697658083234,915.7328078495484,0.0
2021-01-16,1548653.0865842006,0.0009342267608650683,1391.7941552143245,9.545986083277967,0.0
2021-01-17,1549116.3199887595,0.00030882226970596063,901.3259801682138,-438.0925756092729,0.0
2021-01-18,1550979.4834559707,0.0012421089781407162,2547.0651844659537,-683.9017172548793,0.0
2021-01-19,1554912.3372046454,0.002621902499116482,4505.953841748007,-573.1000930732844,0.0
2021-01-20,1559063.2375619314,0.0027672669048573214,1500.5255068679962,2650.3748504179857,0.0
2021-01-21,1559074.9184026325,7.787227134138902e-06,1416.3045072464263,-1404.623666545218,0.0
2021-01-22,1559636.8609767077,0.00037462838271678465,315.7925043553562,246.15006971982075,0.0
2021-01-23,1559443.1070362814,-0.00012916929361754767,361.9588208525248,-555.7127612788463,0.0
2021-01-24,1561239.7565925226,0.001197766370827518,719.3168411241081,1077.3327151171688,0.0
2021-01-25,1562154.5057768386,0.0006098327895439465,1151.6941960268243,-236.9450117109045,0.0
2021-01-26,1563066.3833025463,0.0006079183504717579,368.4381751074776,543.4393506001593,0.0
2021-01-27,1563012.9408835934,-3.562827930194544e-05,332.14723319821223,-385.5896521511304,0.0
2021-01-28,1563110.802465268,6.524105444967889e-05,437.7668718553647,-339.90529018084635,0.0
2021-01-29,1565485.424592209,0.0015830814179608396,2751.0067210833326,-376.3845941420732,0.0
2021-01-30,1567320.5586640288,0.0012234227145465075,1458.4085496033301,376.7255222164313,0.0
2021-01-31,1568981.0161909366,0.0011069716846051525,1698.3005431666086,-37.84301625887974,0.0
2021-02-01,1569967.341103066,0.0006575499414195355,1336.458044542253,-350.13313241294964,0.0
2021-02-02,1572399.2173924318,0.0016212508595772758,2324.4839459288073,107.39234343710632,0.0
2021-02-03,1575143.4358977454,0.0018294790035423452,2825.018458947146,-80.79995363362832,0.0
2021-02-04,1577254.9049217706,0.0014076460160169072,2121.696866257326,-10.227842231965042,0.0
2021-02-05,1579927.602768854,0.0017817985647222486,2907.2563622735815,-234.5585151902087,0.0
2021-02-06,1581635.0275163457,0.0011382831649944625,2706.6849335701645,-999.2601860784707,0.0
2021-02-07,1585986.1601202146,0.0029007550692459402,4373.974784853929,-22.842180985018786,0.0
2021-02-08,1591346.0719829025,0.003573274575125232,4849.542535304807,510.3693273830413,0.0
2021-02-09,1598148.4529363555,0.004534920635635316,7583.4471719129815,-781.0662184600078,0.0
2021-02-10,1604828.1584808005,0.004453137029630026,6531.401832079287,148.30371236575252,0.0
2021-02-11,1610946.2497267905,0.004078727497326611,5105.875793083933,1012.2154529059844,0.0
2021-02-12,1615168.8320136508,0.0028150548579069195,5897.561916407845,-1674.9796295474662,0.0
2021-02-13,1621818.6980821022,0.004433244045634292,5773.680917232892,876.1851512185458,0.0
2021-02-14,1627982.1026637868,0.004108936387789775,6129.311774244247,34.09280744041462,0.0
2021-02-15,1631403.9149481414,0.0022812081895696606,3758.990149940167,-337.17786558567605,0.0
2021-02-16,1637518.6497444198,0.004076489864185575,5970.181292731073,144.55350354728944,0.0
2021-02-17,1643504.0837455243,0.003990289334069664,5780.195300313313,205.23870079118205,0.0
2021-02-18,1650417.3373654236,0.0046088357465995065,7338.390928681256,-425.13730878199567,0.0
2021-02-19,1656359.6148901223,0.0039615183497991565,5359.290517467451,582.9870072312842,0.0
2021-02-20,1662544.0912792508,0.004122984259418982,7548.188686745058,-1363.7122976165847,0.0
2021-02-21,1669853.7160304757,0.004873083167483276,6198.540156741683,1111.0845944832308,0.0
2021-02-22,1675611.6293026349,0.0038386088481061676,5617.79183357937,140.12143857988121,0.0
2021-02-23,1677725.1482314388,0.0014090126192025836,1251.9936847847214,861.5252440191543,0.0
2021-02-24,1679339.437683056,0.0010761929677448546,1652.814324024861,-38.524872407579096,0.0
2021-02-25,1680974.6793200222,0.0010901610913107273,1186.239362975893,449.00227399019786,0.0
2021-02-26,1681851.7642145222,0.0005847232630000061,481.60832819100165,395.47656630900747,0.0
2021-02-27,1682440.2250976756,0.00039230725543564675,1338.5026468428355,-750.0417636893653,0.0
2021-02-28,1684806.9746128898,0.0015778330101427688,906.8955006153752,1459.8540145987781,0.0
2021-03-01,1684178.4566038551,-0.00041901200602307675,568.480460198352,-1196.9984692329672,0.0
2021-03-02,1685684.6255950832,0.0010041126608186738,507.2497332237818,998.919258004229,0.0
2021-03-03,1686133.3902689274,0.0002991764492294983,1075.0495465247498,-626.2848726805023,0.0
2021-03-04,1686417.455802122,0.00018937702212966769,515.2147676404709,-231.14923444596934,0.0
2021-03-05,1687345.316478455,0.0006185737842220055,494.8820218398524,432.9786544931558,0.0
2021-03-06,1687360.3788171532,1.004155913221598e-05,498.83927627788364,-483.77693757955967,0.0
2021-03-07,1687982.6551070581,0.00041485085993653244,627.0492829464367,-4.772993041638074,0.0
2021-03-08,1688548.3297361967,0.00037711641942571593,778.0728194922217,-212.3981903536478,0.0
2021-03-09,1690862.2544228632,0.001542616457777716,3064.3073784301628,-750.3826917635888,0.0
2021-03-10,1693673.13791891,0.0018739223306979442,2431.0896211607237,379.7938748861925,0.0
2021-03-11,1697165.4584381774,0.002328213679511567,5353.787805514172,-1861.4672862468215,0.0
2021-03-12,1702472.8596589458,0.0035382674805121725,4345.302194799484,962.0990259687751,0.0
2021-03-13,1705711.5149314324,0.002159103514991134,3232.859495221893,5.795777264807839,0.0
2021-03-14,1711260.1749957653,0.0036991067095552685,5879.701224579551,-331.04116024664836,0.0
2021-03-15,1715959.6288908892,0.003132969263415973,4085.7833611962483,613.6705339277105,0.0
2021-03-16,1718508.7563618096,0.0016994183139469267,1880.2265889396115,668.9008819807786,0.0
2021-03-17,1719668.3648872208,0.0007730723502740113,1537.3568318508644,-377.7483064398475,0.0
2021-03-18,1721738.9625715385,0.0013803984562118657,1850.6990763269778,219.8986079908209,0.0
2021-03-19,1722834.1697642787,0.0007301381284934915,1537.3909052424513,-442.1837125022139,0.0
