date,nav,ret,funding_pnl,basis_pnl,cost
2023-05-13,1497313.5589507867,-0.0017909606994755446,-681.5707767259651,-104.87027248735194,1900.0
2023-05-14,1496782.6265401372,-0.0003539549404329763,-630.2046258866856,99.27221523722108,0.0
2023-05-15,1496567.5646190743,-0.00014337461404199332,-335.97995766749113,120.91803660450114,0.0
2023-05-16,1496137.5553451553,-0.0002866728492792169,-203.84776101035231,-226.16151290847301,0.0
2023-05-17,1496294.2373334034,0.00010445465883203285,175.34217908222467,-18.66019083417541,0.0
2023-05-18,1496411.7558970703,7.834570911127303e-05,88.78186978247068,28.736693884438864,0.0
2023-05-19,1496765.9125771485,0.00023610445338539138,281.0087320086837,73.14794806940336,0.0
2023-05-20,1496806.1348094654,2.6814821544570635e-05,104.41328878585975,-64.1910564690038,0.0
2023-05-21,1496446.4624618334,-0.0002397815650879306,-458.944562868982,99.27221523708613,0.0
2023-05-22,1495818.5603721114,-0.00041860139314795636,-708.5141141249808,80.61202440304623,0.0
2023-05-23,1495076.8952294083,-0.000494443428468745,-521.4748908613956,-220.19025184172187,0.0
2023-05-24,1494601.4843159036,-0.000316940609003168,-498.9227539556805,23.511840450928503,0.0
2023-05-25,1494458.6566123192,-9.521846905625228e-05,-343.9845607753086,201.15685719093017,0.0
2023-05-26,1494020.6623609397,-0.00029199616758642736,-326.03310637540346,-111.96114500423755,0.0
2023-05-27,1493895.754753844,-8.32717380636052e-05,-275.3087452178596,150.4011381224518,0.0
2023-05-28,1493077.49944537,-0.000545503538982836,-689.4999917193536,-128.75531675490038,0.0
2023-05-29,1492904.9904310915,-0.0001150060095189686,-43.00728989016985,-129.50172438828304,0.0
2023-05-30,1493285.8500425846,0.00025390640766201735,191.27207261911826,189.58753887390776,0.0
2023-05-31,1493599.490530123,0.00020909365835898916,309.90844937173006,3.732038166753682,0.0
2023-06-01,1493642.1380076464,2.8431651682227465e-05,234.10103548048687,-191.45355795714568,0.0
2023-06-02,1493724.8077486907,5.511316069618872e-05,-43.099945177105745,125.76968622138884,0.0
2023-06-03,1493666.2445620599,-3.904212442043331e-05,-139.1752110336962,80.61202440304623,0.0
2023-06-04,1493546.5580666256,-7.979099695630322e-05,-102.14591605041389,-17.54057938404094,0.0
2023-06-05,1493461.1180287318,-5.696002526242611e-05,-28.71305775814228,-56.72698013549689,0.0
2023-06-06,1493522.392390871,4.0849574759452056e-05,31.418056804606568,29.856305334571516,0.0
2023-06-07,1493639.4459019538,7.803567405516946e-05,304.7750308732858,-187.7215197905316,0.0
2023-06-08,1494201.9120570326,0.0003749774367192286,380.71589635532894,181.75025872351398,0.0
2023-06-09,1494467.849632723,0.00017729171712693994,296.54028865822403,-30.602712967814114,0.0
2023-06-10,1495180.8401632824,0.0004753270203728124,825.6980831968342,-112.70755263761566,0.0
2023-06-11,1495915.8710388104,0.0004900205836853983,547.6825595541857,187.34831597391167,0.0
2023-06-12,1496674.417626701,0.0005056977252604933,724.2118367561721,34.334751134567796,0.0
2023-06-13,1497300.8961014217,0.0004176523164803343,818.305236494407,-191.82676177390556,0.0
2023-06-14,1498172.3096484737,0.000580942364701491,653.4625181106483,217.95102894158822,0.0
2023-06-15,1498676.1656542316,0.00033590400383841384,635.970156862789,-132.11415110516828,0.0
2023-06-16,1499165.8112194245,0.00032643037679539366,497.48284534321874,-7.837280150128208,0.0
2023-06-17,1499008.1104730093,-0.00010513383094351414,-31.557856376989587,-126.14289003828162,0.0
2023-06-18,1498886.94194807,-8.077901662622037e-05,-86.83377380489873,-34.334751134431826,0.0
2023-06-19,1498935.311403941,3.224630391401683e-05,-33.362179982019036,81.73163585304428,0.0
2023-06-20,1499689.92542862,0.0005030760164527898,554.2035751216364,200.41044955754842,0.0
2023-06-21,1501125.0337333179,0.0009567388697985017,1377.261713112255,57.84659158549766,0.0
2023-06-22,1501273.4405007104,9.893784492834447e-05,592.8925130593345,-444.4857456668178,0.0
2023-06-23,1501823.2641651726,0.00036654910964140563,380.76233550575273,169.06132895635574,0.0
2023-06-24,1502984.581999566,0.0007742118895956179,971.3570917028956,189.96074269053133,0.0
2023-06-25,1503291.8320329005,0.00020483335555636562,746.5109255678577,-439.2608922333093,0.0
2023-06-26,1504092.5734045664,0.0005338275811105697,747.3732258804905,53.36814578536405,0.0
2023-06-27,1505344.4724641044,0.0008345993730254199,1131.7274305667358,120.17162897139406,0.0
2023-06-28,1505734.508085913,0.0002600237478723314,339.65310655678053,50.38251525171654,0.0
2023-06-29,1506201.257155329,0.0003111660462773788,397.3331595132825,69.41590990278564,0.0
2023-06-30,1507430.0496558778,0.0008191950003658067,1366.5047089040086,-137.71220835529857,0.0
2023-07-01,1508877.0729918117,0.0009646822239559035,1283.5600642276304,163.4632717062251,0.0
2023-07-02,1510697.4763250563,0.0012136022221630577,1801.3699385937903,19.033394650796254,0.0
2023-07-03,1512750.0487829398,0.0013683816385890956,2350.389103595035,-297.81664571139186,0.0
2023-07-04,1514370.8538454869,0.0010805367083647538,1513.3223633430252,107.4826992041053,0.0
2023-07-05,1515146.2505672737,0.0005169311478577831,655.225092815416,120.17162897125854,0.0
2023-07-06,1516410.6102120269,0.0008429064298354046,1041.1837623781446,223.17588237496238,0.0
2023-07-07,1518540.3082204803,0.0014197986723023203,1953.5458069801057,176.1522014733746,0.0
2023-07-08,1519225.802472761,0.0004569961681870804,850.4503392534654,-164.9560869728448,0.0
2023-07-09,1519934.1061871017,0.0004722024762272171,755.7005990593026,-47.39688471847694,0.0
2023-07-10,1520926.8505493565,0.0006618295748364975,1086.7917240583229,-94.04736180357668,0.0
2023-07-11,1521812.8416818632,0.0005906607550044684,820.307260770942,65.68387173576048,0.0
2023-07-12,1522687.6256979618,0.0005831893440657051,907.2527481497488,-32.46873205119118,0.0
2023-07-13,1523843.644625268,0.0007706792848708096,1256.783957810055,-100.76503050384053,0.0
2023-07-14,1525278.507345167,0.0009565751465993702,1377.7625359468047,57.10018395225052,0.0
2023-07-15,1525908.385527852,0.0004199187884567508,403.34346595989325,226.534716725233,0.0
2023-07-16,1526039.594928832,8.747293398658201e-05,343.189168854574,-211.979767874701,0.0
2023-07-17,1526455.5331949494,0.00027729217741159296,338.3118722478552,77.62639386953424,0.0
2023-07-18,1526677.5073610349,0.00014798277739026445,337.2941454397666,-115.31997935436993,0.0
2023-07-19,1526899.1865906552,0.000147786153080252,168.31108383501257,53.368145785365414,0.0
2023-07-20,1527118.414142759,0.00014615170140262288,209.15104905353647,10.076503050397832,0.0
2023-07-21,1527137.14600942,1.248791110735084e-05,194.51086431764722,-175.77899765662096,0.0
2023-07-22,1527274.4256179219,9.151973900118391e-05,91.74874286667554,45.53086563510033,0.0
2023-07-23,1527130.7278392776,-9.579851909614429e-05,-153.77428169461405,10.076503050397605,0.0
2023-07-24,1527232.4838096108,6.783731355544525e-05,13.679869596615186,88.07610073655269,0.0
2023-07-25,1527158.633996277,-4.9233208889211465e-05,-68.25175608368872,-5.598057250128477,0.0
2023-07-26,1527040.1217890473,-7.900813815312628e-05,-118.8854110463105,0.3732038166210714,0.0
2023-07-27,1527116.6591108248,5.1024881185006234e-05,-44.3807148271264,120.91803660463574,0.0
