date,nav,ret,funding_pnl,basis_pnl,cost
2025-07-12,1500000.0,0.0,0.0,0.0,0.0
2025-07-13,1500000.0,0.0,0.0,0.0,0.0
2025-07-14,1500000.0,0.0,0.0,0.0,0.0
2025-07-15,1500000.0,0.0,0.0,0.0,0.0
2025-07-16,1500000.0,0.0,0.0,0.0,0.0
2025-07-17,1500000.0,0.0,0.0,0.0,0.0
2025-07-18,1499237.8361713756,-0.0005081092190829401,1593.6124615936083,-755.7762902180184,1600.0
2025-07-19,1500239.844459797,0.0006680055256142396,872.4466386698336,129.5616497515257,0.0
2025-07-20,1500830.4086583417,0.00039370946569651993,1000.8427560915568,-410.27855754677694,0.0
2025-07-21,1502697.5437618182,0.0012447567356510317,1068.1715966745842,798.9635068019634,0.0
2025-07-22,1502581.5397455408,-7.733601085155764e-05,510.2106241891599,-626.2146404664963,0.0
2025-07-23,1503634.6508487863,0.0007020740688303246,448.490071071043,604.6210321744438,0.0
2025-07-24,1504390.729084623,0.0005040521572244785,345.79967828978624,410.27855754693155,0.0
2025-07-25,1505428.10864233,0.0006915863718045727,951.0051245389764,86.37443316788267,0.0
2025-07-26,1506212.3725974713,0.0005228426367608804,1129.7616878125675,-345.4977326712469,0.0
2025-07-27,1507026.226209309,0.0005425690745584008,1202.5385610926367,-388.68494925503546,0.0
2025-07-28,1508043.7142282834,0.0006783253459829346,1125.4560604340315,-107.9680414596296,0.0
2025-07-29,1508361.9853432497,0.0002121807433109559,145.52224863096527,172.74886633546862,0.0
2025-07-30,1509846.9624532908,0.0009899847400274121,470.0775203195854,1014.8995897215327,0.0
2025-07-31,1509786.3101547852,-4.043486567042639e-05,500.7815170848629,-561.4338155905025,0.0
2025-08-01,1508530.715987478,-0.0008370627782048955,558.268929216152,-1813.8630965234952,0.0
2025-08-02,1510547.1111191988,0.0013442634211472855,137.75121032174476,1878.6439213991835,0.0
2025-08-03,1509757.322303673,-0.0005265258770171903,73.955516152019,-863.7443316778044,0.0
2025-08-04,1509825.3229224596,4.5333745857691684e-05,175.96866024616713,-107.9680414596296,0.0
2025-08-05,1510065.5437765191,0.00016014723603969804,218.62724576765277,21.59360829189427,0.0
2025-08-06,1510664.9528495444,0.00039960604868345185,167.53690718635286,431.8721658388249,0.0
2025-08-07,1510507.6850640122,-0.00010484519035479274,80.261905679119,-237.5296912113081,0.0
2025-08-08,1510120.478952913,-0.00025813740739938763,152.63409619952495,-539.8402072986064,0.0
2025-08-09,1511713.5009867935,0.001062014689253647,318.9991446555819,1274.0228892248888,0.0
2025-08-10,1511157.5165611187,-0.0003706562837832918,307.75990600302316,-863.7443316779609,0.0
2025-08-11,1511443.613961993,0.0001907316005830146,739.5631750053984,-453.4657741308765,0.0
2025-08-12,1512296.310114038,0.0005684641013632234,356.04316133016636,496.6529907146687,0.0
