ann_return,ann_vol,sharpe,max_dd,pct_pos_days,n_trades,total_cost_bp,fund_received,fund_paid,pct_neg_funding_days,n_days,pair,variant,fee_mode
0.13573108572180442,0.012983123743232506,10.454424405571476,-0.007025480371089342,79.72508591065292,1,25.333333333333332,1182684.587770767,-44509.18694271044,12.223858615611192,2037,A_BTC,always_on,taker
0.13580275975224132,0.012979816179944969,10.462610399835192,-0.007025480371089342,79.72508591065292,1,21.333333333333336,1182684.587770767,-44509.18694271044,12.223858615611192,2037,A_BTC,always_on,maker
0.12740076581325582,0.01295700200722681,9.832580541563367,-0.003288559705076739,65.43937162493863,24,304.0,1116439.248865279,-11359.52419145157,4.32007854688267,2037,A_BTC,cond_5_0,taker
0.1282608541784988,0.012876652761233492,9.960729434643257,-0.0028885597050767394,65.43937162493863,24,256.0,1116439.248865279,-11359.52419145157,4.32007854688267,2037,A_BTC,cond_5_0,maker
0.11447609610511822,0.013013012687009953,8.797047913385367,-0.003401854496329557,44.13352970054001,22,278.6666666666667,997980.2519519394,-4323.188094522309,1.2272950417280315,2037,A_BTC,cond_10_3,taker
0.1152645104399243,0.012945149758375098,8.904069291693736,-0.0030018544963295573,44.13352970054001,22,234.66666666666666,997980.2519519394,-4323.188094522309,1.2272950417280315,2037,A_BTC,cond_10_3,maker
0.2658100639634904,0.029446596207301605,9.026851935354752,-0.02633929732879686,76.8777614138439,1,25.333333333333332,2370909.4311288088,-144379.7680437914,14.04025527736868,2037,B_ETH,always_on,taker
0.2658817379939273,0.02944351404555755,9.030231159994424,-0.02633929732879686,76.92685321551302,1,21.333333333333336,2370909.4311288088,-144379.7680437914,14.04025527736868,2037,B_ETH,always_on,maker
0.2602240304426867,0.02891151679551124,9.000704884604627,-0.013568123396120655,68.28669612174767,36,456.0,2283774.885593283,-49765.141674280785,5.596465390279824,2037,B_ETH,cond_5_0,taker
0.26151416299055125,0.028841682584939705,9.067229771369385,-0.013568123396120655,68.33578792341679,36,383.99999999999994,2283774.885593283,-49765.141674280785,5.596465390279824,2037,B_ETH,cond_5_0,maker
0.2521511545294423,0.028991450826335165,8.697431392443251,-0.013568123396120655,60.72655866470299,44,557.3333333333334,2216069.6464820076,-34796.523803487406,3.2400589101620034,2037,B_ETH,cond_10_3,taker
0.25372798319905443,0.028907863244945525,8.777126868531807,-0.013568123396120655,60.72655866470299,44,469.3333333333333,2216069.6464820076,-34796.523803487406,3.2400589101620034,2037,B_ETH,cond_10_3,maker
0.2682062011150419,0.20179960891574075,1.3290719568590863,-0.001176123472858065,74.43037974683544,1,26.0,124633.56565073418,-4144.185246473763,5.5696202531645564,395,C_HYPE,always_on,taker
0.2686374247437339,0.20202188682864056,1.3297441626787603,-0.001176123472858065,74.43037974683544,1,21.333333333333336,124633.56565073418,-4144.185246473763,5.5696202531645564,395,C_HYPE,always_on,maker
0.060873646842002395,0.007111993849595585,8.559294078335556,-0.003458003629411726,67.34177215189874,6,78.0,114524.48105446988,-3490.7940338566177,3.5443037974683547,395,C_HYPE,cond_5_0,taker
0.06216731772807834,0.0068860647839759665,9.027989087866722,-0.0029913369627450593,67.34177215189874,6,64.0,114524.48105446988,-3490.7940338566177,3.5443037974683547,395,C_HYPE,cond_5_0,maker
0.04734947849138708,0.00644562356481895,7.345988796154135,-0.003537702965034327,47.848101265822784,6,78.0,92300.58940018137,-2659.084311209242,1.5189873417721518,395,C_HYPE,cond_10_3,taker
0.048643149377463044,0.0062323676545621475,7.804922956022312,-0.0030710362983676605,47.848101265822784,6,64.0,92300.58940018137,-2659.084311209242,1.5189873417721518,395,C_HYPE,cond_10_3,maker
0.25188697124855225,0.017810429770651896,14.142666656119253,-0.007174442679975958,86.05442176870748,1,25.333333333333332,1271049.2362226427,-50560.30658133025,12.755102040816327,1176,D_HL_BTC,always_on,taker
0.2520111209084162,0.0177971247628029,14.160215443066125,-0.007174442679975958,86.05442176870748,1,21.333333333333336,1271049.2362226427,-50560.30658133025,12.755102040816327,1176,D_HL_BTC,always_on,maker
0.24448476986745907,0.01814026480172047,13.47746422335971,-0.013101086876716465,77.89115646258503,22,278.6666666666667,1244777.5376362295,-20751.469661570565,5.272108843537415,1176,D_HL_BTC,cond_5_0,taker
0.24585041612596248,0.018010895032037143,13.650094328385816,-0.010701086876716465,77.89115646258503,22,234.66666666666666,1244777.5376362295,-20751.469661570565,5.272108843537415,1176,D_HL_BTC,cond_5_0,maker
0.2393360008142211,0.01818150994530422,13.163703209151503,-0.008641327314517461,71.85374149659864,24,304.0,1216325.2452044466,-15176.907234942997,3.741496598639456,1176,D_HL_BTC,cond_10_3,taker
0.24082579673258847,0.01805399023915583,13.339200561340784,-0.007041327314517461,72.02380952380952,24,256.0,1216325.2452044466,-15176.907234942997,3.741496598639456,1176,D_HL_BTC,cond_10_3,maker
