date,nav,ret,basis_pnl,funding_pnl,cost,q,F_entry,margin,rebalanced,N_target,N_actual
2021-01-01,998878.0,0.0,0.0,0.0,1122.0,22.773772038942678,28948.19,329629.74,True,660000.0,0.0
2021-01-02,1000286.1329461668,0.001408132946166792,435.206783664125,972.9261625026228,0.0,22.773772038942678,28948.19,329629.74,False,660188.8477444701,668117.5663722672
2021-01-03,1002676.4147802581,0.0023902818340912927,-375.99497636290715,2887.7123463055004,121.43553585122619,20.55276747376564,32198.41,330883.21687748516,True,661846.5812086322,733279.2493564123
2021-01-04,1005123.2664005107,0.0024468516202525935,-656.0443377625634,3102.895958015128,0.0,20.55276747376564,32198.41,330883.21687748516,False,663381.3558243371,679349.7373841263
2021-01-05,1006718.7610827965,0.0015954946822858184,289.3829660305814,1306.1117162551461,0.0,20.55276747376564,32198.41,330883.21687748516,False,664434.3823146457,658295.8934393503
2021-01-06,1009908.7967423836,0.003190035659587127,-209.227172883015,3399.2628324701363,0.0,20.55276747376564,32198.41,330883.21687748516,False,666539.8058499732,698784.0232519697
2021-01-07,1012221.1621604937,0.002312365418110043,-132.1542948561695,2595.3199005606702,150.80018759448149,18.14126268170159,36825.77,334032.98351296294,True,668165.4951497383,756871.4878523744
2021-01-08,1015184.6568940887,0.0029634947335950563,-171.07210708845128,3134.5668406835007,0.0,18.14126268170159,36825.77,334032.98351296294,False,670021.8735500986,716549.3986059076
2021-01-09,1017477.4257259147,0.0022927688318259316,251.98213864869254,2040.7866931772232,0.0,18.14126268170159,36825.77,334032.98351296294,False,671535.1009791037,737241.1414080296
2021-01-10,1019876.497131004,0.002399071405089344,74.74200224865807,2324.329402840716,0.0,18.14126268170159,36825.77,334032.98351296294,False,673118.4881064626,728118.6260559092
2021-01-11,1021372.1812553366,0.0014956841243326199,-39.185127392538796,1534.86925172509,0.0,18.14126268170159,36825.77,334032.98351296294,False,674105.6396285222,692996.4158536276
2021-01-12,1023236.5777852711,0.0018643965299344853,969.4690777103073,894.9274522241833,0.0,18.14126268170159,36825.77,334032.98351296294,False,675336.141338279,642326.2364699936
2021-01-13,1023543.5754619285,0.0003069976766573964,-359.74123897817424,666.7389156356008,0.0,18.14126268170159,36825.77,334032.98351296294,False,675538.7598048728,617991.7281213859
2021-01-14,1024514.7547877197,0.0009711793257911923,-518.4772874430631,1489.6566132341634,0.0,18.14126268170159,36825.77,334032.98351296294,False,676179.7381598951,678779.6525278584
2021-01-15,1026695.055208341,0.0021803004206212935,487.2743156305153,1693.0261049907042,0.0,18.14126268170159,36825.77,334032.98351296294,False,677618.7364375051,710471.8941949107
2021-01-16,1027440.7280208286,0.0007456728124875809,5.0795535508553264,740.5932589367651,0.0,18.14126268170159,36825.77,334032.98351296294,False,678110.8804937468,666786.6451816123
2021-01-17,1027687.2210352197,0.00024649301439116244,-233.11522545983905,479.6082398509281,0.0,18.14126268170159,36825.77,334032.98351296294,False,678273.5658832451,653550.7799290429
2021-01-18,1028678.6365394049,0.0009914155041851336,-363.91372939502367,1355.3292335801864,0.0,18.14126268170159,36825.77,334032.98351296294,False,678927.9001160072,650830.8604151754
2021-01-19,1030771.3633724214,0.0020927268330164952,-304.95462567936147,2397.68145869596,0.0,18.14126268170159,36825.77,334032.98351296294,False,680309.0998257982,665602.9277916313
2021-01-20,1032980.1158747991,0.002208752502377727,1410.3017608755767,798.4507415020599,0.0,18.14126268170159,36825.77,334032.98351296294,False,681766.8764773675,651121.4834433362
2021-01-21,1032986.3314145395,6.215539740398526e-06,-747.4200224861847,753.6355622264684,0.0,18.14126268170159,36825.77,334032.98351296294,False,681770.978733596,644000.8564281416
2021-01-22,1033078.2160776996,9.188466316007543e-05,130.9799165619066,168.03763622094047,207.13288962267316,22.083064571710494,30875.77,340915.81130564085,True,681968.3303184328,560125.4540698015
2021-01-23,1032952.7150967394,-0.0001255009809602052,-359.9539525189453,234.45297155878234,0.0,22.083064571710494,30875.77,340915.81130564085,False,681748.791963848,728522.066865895
2021-01-24,1034116.4657861643,0.0011637506894249237,697.8248404660998,465.92584895875814,0.0,22.083064571710494,30875.77,340915.81130564085,False,682516.8674188685,708567.8097188973
2021-01-25,1034708.9797743266,0.0005925139881622745,-153.47729877340402,745.9912869356675,0.0,22.083064571710494,30875.77,340915.81130564085,False,682907.9266510556,712728.2590842076
2021-01-26,1035299.6336920741,0.0005906539177475497,352.00404927303634,238.64986847450817,0.0,22.083064571710494,30875.77,340915.81130564085,False,683297.7582367689,712260.0981152874
2021-01-27,1035265.0172296233,-3.4616462450823744e-05,-249.7594603060746,215.14299785520893,0.0,22.083064571710494,30875.77,340915.81130564085,False,683274.9113715513,717143.3261840297
2021-01-28,1035328.4054862515,6.338825662818272e-05,-220.168153779899,283.55641040807916,0.0,22.083064571710494,30875.77,340915.81130564085,False,683316.747620926,670948.867559697
2021-01-29,1036866.5285596976,0.0015381230734460988,-243.7970328716228,1781.9201063177259,0.0,22.083064571710494,30875.77,340915.81130564085,False,684331.9088494005,737574.1358644847
2021-01-30,1037933.4787769249,0.0010669502172273352,244.01786351730456,944.6605483902507,121.72819468021585,19.991107956589495,34267.04,342518.04799638526,True,685116.4366012594,756721.2570013864
2021-01-31,1038907.1265393088,0.0009736477623839164,-22.190129831825978,995.8378922157101,0.0,19.991107956589495,34267.04,342518.04799638526,False,685678.7035159438,685390.3384257613
2021-02-01,1039444.9313112234,0.0005378047719146125,-205.3086787141101,783.6631551857907,40.54970455707181,20.71038117806726,33125.11,343016.82733270375,True,686060.4174704151,662207.6500839023
2021-02-02,1040922.2248728843,0.0014772935616609174,65.23770071079132,1412.0558609501968,0.0,20.71038117806726,33125.11,343016.82733270375,False,687008.6684161037,694752.1038299386
2021-02-03,1042589.2571752338,0.0016670323023494566,-49.08360339192296,1716.115905741336,0.0,20.71038117806726,33125.11,343016.82733270375,False,688108.9097356544,735302.8230727824
2021-02-04,1043717.501455186,0.0011282442799522541,-6.213114353329765,1288.8686542256207,154.41125992001105,18.295310065474027,37651.92,344426.7754802114,True,688955.46239197,779785.6152860941
2021-02-05,1045151.7581062166,0.001434256651030504,-125.8717332505465,1560.128384281013,0.0,18.295310065474027,37651.92,344426.7754802114,False,689800.1603501029,676472.5657798146
2021-02-06,1046068.0177959889,0.0009162596897723851,-536.2355380190012,1452.4952277914067,0.0,18.295310065474027,37651.92,344426.7754802114,False,690404.8917453528,701756.3183840984
2021-02-07,1048402.9771642634,0.0023349593682744306,-12.25785774383565,2347.2172260183697,0.0,18.295310065474027,37651.92,344426.7754802114,False,691945.9649284139,718082.3212741248
2021-02-08,1051279.2803147996,0.0028763031505362594,273.8807916801675,2602.422358856003,0.0,18.295310065474027,37651.92,344426.7754802114,False,693844.3250077678,710758.8916080161
2021-02-09,1054668.5601901647,0.003389279875365086,-419.14555360007387,4069.524565196797,261.0991362317267,14.985176949234354,46451.32,348040.62486275437,True,696253.5751554216,849841.302350555
2021-02-10,1057604.5627393015,0.002936002549136756,65.18551972914763,2870.817029407778,0.0,14.985176949234354,46451.32,348040.62486275437,False,698019.011407939,696698.7888675866
2021-02-11,1060293.7129382973,0.002689150198995834,444.90990362280286,2244.240295373142,0.0,14.985176949234354,46451.32,348040.62486275437,False,699793.8505392763,672085.1861731608
2021-02-12,1062149.7097746357,0.0018559968363384251,-736.2217435158445,2592.2185798543105,0.0,14.985176949234354,46451.32,348040.62486275437,False,701018.8084512596,720190.7510673624
2021-02-13,1065072.5966591674,0.002922886884531705,385.1190475952793,2537.767836936494,0.0,14.985176949234354,46451.32,348040.62486275437,False,702947.9137950506,709757.921023536
2021-02-14,1067781.6639141212,0.002709067254953785,14.985176949234354,2694.082078004412,0.0,14.985176949234354,46451.32,348040.62486275437,False,704735.8981833201,707624.4813812735
2021-02-15,1069285.6897312305,0.001504025817109272,-148.20340002791903,1652.2292171371225,0.0,14.985176949234354,46451.32,348040.62486275437,False,705728.5552226121,729106.9313521568
2021-02-16,1071973.3646339213,0.0026876749026908072,63.53715026472313,2624.1377524260774,0.0,14.985176949234354,46451.32,348040.62486275437,False,707502.4206583881,719012.7663073831
2021-02-17,1074604.2065726873,0.002630841938765952,90.21076523434284,2540.6311735316344,0.0,14.985176949234354,46451.32,348040.62486275437,False,709238.7763379737,737239.6865860453
2021-02-18,1077642.8630098312,0.0030386564371439164,-186.86515655696985,3225.521593700953,0.0,14.985176949234354,46451.32,348040.62486275437,False,711244.2895864886,782145.6164980464
2021-02-19,1080254.7359201128,0.0026118729102816434,256.2465258319947,2355.6263844497157,0.0,14.985176949234354,46451.32,348040.62486275437,False,712968.1257072745,773421.8458852802
2021-02-20,1082761.4229982526,0.0025066870781397447,-599.4070779693742,3317.73625022736,211.64209411823055,12.759783829347233,56005.85,357311.2695894234,True,714762.2229609648,839257.5724422769
2021-02-21,1085497.1681216862,0.0027357451234336478,415.8413549984746,2319.9037684351774,0.0,12.759783829347233,56005.85,357311.2695894234,False,716428.1309603129,713379.7362338683
2021-02-22,1087652.1601618486,0.0021549920401624403,52.44271153853172,2102.5493286238416,0.0,12.759783829347233,56005.85,357311.2695894234,False,717850.4257068201,733374.955483647
2021-02-23,1088443.1787571318,0.0007910185952831525,322.43973736756374,468.57885791545755,0.0,12.759783829347233,56005.85,357311.2695894234,False,718372.497979707,690630.3176445252
2021-02-24,1088886.8133232929,0.00044363456616108306,-14.41855572712895,618.5924559444148,160.5393340562883,14.687618024058716,48930.01,359332.64839668665,True,718771.2527538504,624336.3503677985
2021-02-25,1089591.296360742,0.0007044830374491867,193.43592937682766,511.04710807239206,0.0,14.687618024058716,48930.01,359332.64839668665,False,719130.2555980898,730004.7254126676
2021-02-26,1089969.1557648876,0.00037785940414550713,170.3763690791666,207.48303506650086,0.0,14.687618024058716,48930.01,359332.64839668665,False,719379.6428048258,691610.1168883361
2021-02-27,1090222.6722489425,0.0002535164840549696,-323.1275965293986,576.6440805844128,0.0,14.687618024058716,48930.01,359332.64839668665,False,719546.963684302,680229.4160623943
2021-02-28,1091242.2982477355,0.001019625998792937,628.9238037902968,390.70219500275545,0.0,14.687618024058716,48930.01,359332.64839668665,False,720219.9168435055,677056.4499406568
2021-03-01,1090875.118319221,-0.00036717992851440797,-515.68226882471,244.90866198471815,96.40632167435714,15.941884223125262,45162.64,359988.78904534294,True,720041.2062629911,663331.6052780751
2021-03-02,1091579.4068035467,0.0007042884843256324,467.0972077376166,237.19127658811652,0.0,15.941884223125262,45162.64,359988.78904534294,False,720442.4084903408,790637.5886270552
2021-03-03,1091789.2503163274,0.00020984351278073154,-292.8524131788528,502.6959259595845,0.0,15.941884223125262,45162.64,359988.78904534294,False,720580.9052087761,772451.4059429982
2021-03-04,1091782.0274286154,-7.22288771206513e-06,-108.08597503277072,240.91574711539684,140.0526597947192,14.304595907648054,50373.75,360288.0690514431,True,720668.5728583507,803052.4903846561
2021-03-05,1092171.3374629016,0.0003893100342862308,181.66836802708866,207.64166625911997,0.0,14.304595907648054,50373.75,360288.0690514431,False,720833.0827255151,692138.8875304
2021-03-06,1092177.6572905919,6.319827690254897e-06,-202.98221592955917,209.3020436199084,0.0,14.304595907648054,50373.75,360288.0690514431,False,720837.2538117906,697673.478733028
2021-03-07,1092438.7508038073,0.0002610935132154264,-2.002643427062401,263.0961566426002,0.0,14.304595907648054,50373.75,360288.0690514431,False,721009.5755305128,699612.1806163916
2021-03-08,1092676.0954988482,0.00023734469504095614,-89.11763250458908,326.46232754557116,0.0,14.304595907648054,50373.75,360288.0690514431,False,721166.2230292399,729410.6565354496
2021-03-09,1093646.9676589468,0.0009708721600985154,-314.8441559273628,1285.7163160258408,0.0,14.304595907648054,50373.75,360288.0690514431,False,721806.9986549049,749981.8098183201
2021-03-10,1094826.3528599076,0.0011793852009607945,159.353198411191,1020.0320025495311,0.0,14.304595907648054,50373.75,360288.0690514431,False,722585.392887539,785576.6510451161
2021-03-11,1096161.1287417363,0.0013347758818287403,-781.030936557667,2246.332199746922,130.5253813606996,12.930748820263094,55949.3,361733.172484773,True,723552.4917212441,800332.1278157732
2021-03-12,1098174.1243624126,0.0020129956206763164,364.9057317079337,1648.0898889683008,0.0,12.930748820263094,55949.3,361733.172484773,False,724794.9220791924,747948.6489409029
2021-03-13,1099402.48427138,0.0012283599089672789,2.198227299422146,1226.1616816678575,0.0,12.930748820263094,55949.3,361733.172484773,False,725605.6396191107,740816.0478916458
2021-03-14,1101506.9847501484,0.0021045004787684884,-125.55757104483745,2230.058049813324,0.0,12.930748820263094,55949.3,361733.172484773,False,726994.609935098,792233.4895780754
2021-03-15,1103289.3975953346,0.0017824128451861907,232.7534787648298,1549.6593664213929,0.0,12.930748820263094,55949.3,361733.172484773,False,728171.0024129208,763394.0404842425
2021-03-16,1104256.2328169546,0.0009668352216200437,253.7012918535017,713.1339297665869,0.0,12.930748820263094,55949.3,361733.172484773,False,728809.1136591901,719552.3366091405
2021-03-17,1104696.0501185404,0.0004398173015858047,-143.27269692853767,583.0899985142848,0.0,12.930748820263094,55949.3,361733.172484773,False,729099.3930782367,736447.9116326727
2021-03-18,1105481.388158258,0.000785338039717637,83.40332989075341,701.9347098270607,0.0,12.930748820263094,55949.3,361733.172484773,False,729617.7161844503,762384.14900138
2021-03-19,1105896.7792679581,0.00041539110970008184,-167.71181219882737,583.1029218990437,0.0,12.930748820263094,55949.3,361733.172484773,False,729891.8743168524,746104.3362366688
2021-03-20,1106967.2457676334,0.001070466499675298,-1.1637673937785185,1071.6302670689647,0.0,12.930748820263094,55949.3,361733.172484773,False,730598.3822066381,751135.6906026332
2021-03-21,1107786.6768309444,0.0008194310633109417,189.8233926813719,629.6076706295397,0.0,12.930748820263094,55949.3,361733.172484773,False,731139.2067084233,751851.1489348583
2021-03-22,1108625.6126806429,0.0008389358496984933,-248.39968483724275,1087.3355345358532,0.0,12.930748820263094,55949.3,361733.172484773,False,731692.9043692243,742421.4003576814
2021-03-23,1109501.0314446841,0.0008754187640412711,223.96056956704712,651.4581944742076,0.0,12.930748820263094,55949.3,361733.172484773,False,732270.6807534916,699935.7441113604
2021-03-24,1110038.6272234407,0.0005375957787565421,-140.81585465265758,678.4116334091127,0.0,12.930748820263094,55949.3,361733.172484773,False,732625.4939674708,703432.7358223123
2021-03-25,1110938.847274339,0.0009002200508983805,684.9417650093511,215.27828588906291,0.0,12.930748820263094,55949.3,361733.172484773,False,733219.6392010638,676380.1869079517
2021-03-26,1110826.0533299444,-0.0001127939443946816,-351.7163679112126,238.92242351661199,0.0,12.930748820263094,55949.3,361733.172484773,False,733145.1951977633,663673.3986572556
2021-03-27,1111388.9158953417,0.0005628625653972849,349.3888331234674,213.4737322737234,0.0,12.930748820263094,55949.3,361733.172484773,False,733516.6844909255,711579.1075790781
