date,nav,basis_pnl,funding_pnl,switch_cost,venue,ret
2023-05-12,999996.945884724,0.0,-3.054115276022031,0.0,binance,0.0
2023-05-13,1000011.5944927455,-25.728271583601835,40.37687960505433,0.0,binance,1.4648608021438122e-05
2023-05-14,999981.4492273688,-88.21121685823057,58.065951481603165,0.0,binance,-3.0145265376660974e-05
2023-05-15,1000049.7011482951,95.56215159640253,-27.310230670104527,0.0,binance,6.825192092626821e-05
2023-05-16,999981.1755664763,-106.58855370357688,38.06297188490218,0.0,binance,-6.852558181877248e-05
2023-05-17,1000071.0368964653,14.701869476343905,75.159460512672,0.0,binance,8.986132998904214e-05
2023-05-18,1000121.2058884961,-80.86028212005861,131.0292741508835,0.0,binance,5.0168992030783554e-05
2023-05-19,1000384.4978127214,147.0186947636062,116.2732294616554,0.0,binance,0.00026329192422528286
2023-05-20,1000463.4403907054,22.052804214515856,56.88977376941454,0.0,binance,7.894257798395119e-05
2023-05-21,1000470.5204920883,-36.754673690776194,43.83477507364857,0.0,binance,7.080101382918656e-06
2023-05-22,1000649.0537507576,66.15841264354758,112.37484602576167,0.0,binance,0.00017853325866931118
2023-05-23,1000662.4347268014,-121.29042318000435,134.67139922369674,0.0,binance,1.3380976043757982e-05
2023-05-24,1000768.2970205392,3.6754673691695467,102.18682636869391,0.0,binance,0.00010586229373782407
2023-05-25,1000954.8420063041,132.31682528726228,54.228160477588,0.0,binance,0.00018654498576489278
2023-05-26,1001056.8623627797,-33.07920632194093,135.09956279758754,0.0,binance,0.00010202035647560842
2023-05-27,1001119.9923579125,11.026402107341498,52.10359302552222,0.0,binance,6.312999513279646e-05
2023-05-28,1001146.9400898429,18.37733684551345,8.570395084897726,0.0,binance,2.6947731930413283e-05
2023-05-29,1001078.0280170463,-279.3355200507849,210.42344725425878,0.0,binance,-6.891207279660739e-05
2023-05-30,1001545.276815489,297.7128568961312,169.53594154670347,0.0,binance,0.00046724879844277167
2023-05-31,1001520.9436108791,-117.61495581083481,93.28175120093111,0.0,binance,-2.4333204609923997e-05
2023-06-01,1001702.6014156005,3.6754673691695467,177.98233735221555,0.0,binance,0.0001816578047213843
2023-06-02,1002010.048541924,150.6941621326086,156.7529641909238,0.0,binance,0.0003074471263234736
2023-06-03,1002108.6923197799,-33.07920632177379,131.72298417766984,0.0,binance,9.864377785590477e-05
2023-06-04,1002236.2184839285,18.37733684534631,109.14882730315365,0.0,binance,0.00012752616414858493
