symbol,rotation_final_nav,best_single_venue,best_single_final_nav,rotation_ge_all_singles,final_nav_binance,final_nav_bybit,final_nav_hyperliquid
BTC,1796811.6344538003,hyperliquid,1798624.4232815865,False,1396033.279784871,1405658.1665083843,1798624.4232815865
ETH,1473008.5398164657,hyperliquid,1490340.0287669841,False,1258505.1389124915,1259388.0125835175,1490340.0287669841
