interval_start,F_liq,F_entry,q,margin,worst_ts,worst_high,worst_approach,pair,k
2021-01-01,1100.268656716418,737.18,1016.0934235871837,374521.875,1609717320000,1022.51,0.07067242735831152,B_ETH,0.75
2021-01-01,1100.268656716418,737.18,894.2991942266475,329629.74,1609717320000,1022.51,0.07067242735831152,B_ETH,0.66
2021-07-26,52792.04477611941,35370.67,21.70807147787204,383914.5162901121,1627261260000,48168.6,0.08757843716276803,A_BTC,0.66
2021-07-26,52792.04477611941,35370.67,25.177735127037376,445276.68026292353,1627261260000,48168.6,0.08757843716276803,A_BTC,0.75
2026-01-25,34.626865671641795,23.2,29824.259968931645,345961.41563960706,1769558160000,31.035,0.10373060344827596,C_HYPE,0.66
2026-01-25,34.626865671641795,23.2,34112.811254686625,395708.61055436486,1769558160000,31.035,0.10373060344827596,C_HYPE,0.75
2021-05-24,3129.2835820895525,2096.62,442.7714104642299,464161.69730375684,1621886460000,2675.0,0.14517175263042428,B_ETH,0.75
2021-05-24,3129.283582089553,2096.62,379.8711021161356,398222.6750593661,1621886460000,2675.0,0.1451717526304244,B_ETH,0.66
2021-02-04,56196.89552238806,37651.92,20.910884698820468,393667.47890460613,1612826760000,47146.0,0.16105685978298057,A_BTC,0.75
2021-02-04,56196.89552238806,37651.92,18.295310065474027,344426.7754802114,1612826760000,47146.0,0.16105685978298057,A_BTC,0.66
