date,nav,basis_pnl,funding_pnl,switch_cost,venue,ret
2023-05-12,1000086.7428252547,0.0,86.74282525473913,0.0,bybit,0.0
2023-05-13,1000091.0990110853,-68.7084326208664,73.06461845147065,0.0,bybit,4.3561858306638896e-06
2023-05-14,1000293.5611958847,65.0407226945407,137.42146210477645,0.0,bybit,0.00020246218479936942
2023-05-15,1000471.7809905151,79.22253440973786,98.99726022068499,0.0,bybit,0.00017821979463042225
2023-05-16,1000454.1647138298,-148.17548102565706,130.5592043403457,0.0,bybit,-1.7616276685381307e-05
2023-05-17,1000624.8131271006,-12.225699754685817,182.87411302548284,0.0,bybit,0.0001706484132708283
2023-05-18,1000743.175678433,18.827577622089844,99.53497371029982,0.0,bybit,0.0001183625513324514
2023-05-19,1000945.968757909,47.924743037998354,154.86833643792014,0.0,bybit,0.00020279307947598864
2023-05-20,1001048.7242664782,-42.05640715575272,144.8119157249173,0.0,bybit,0.00010275550856918563
2023-05-21,1001238.5107569644,65.04072269445176,124.74576779172745,0.0,bybit,0.0001897864904862363
2023-05-22,1001487.422091744,52.81502293985489,196.09631183981224,0.0,bybit,0.0002489113347795792
2023-05-23,1001430.2735019851,-144.26325710427858,87.11466734537827,0.0,bybit,-5.7148589758900924e-05
2023-05-24,1001645.2739243275,15.404381690816955,199.59604065156316,0.0,bybit,0.00021500042234233116
2023-05-25,1001912.0032655356,131.79304335453995,134.9362978536117,0.0,bybit,0.00026672934120811986
2023-05-26,1001913.5422800218,-73.35419852758119,74.89321301392397,0.0,bybit,1.5390144862467422e-06
2023-05-27,1002116.256430967,98.53914002211121,104.17501092310702,0.0,bybit,0.00020271415094519035
2023-05-28,1002013.8307593804,-84.35732830673615,-18.068343279866276,0.0,bybit,-0.00010242567158665042
2023-05-29,1002085.695059608,-84.8463562969307,156.71065652452256,0.0,bybit,7.18643002276076e-05
2023-05-30,1002413.2614118148,124.21310950674683,203.3532427001458,0.0,bybit,0.00032756635220686437
2023-05-31,1002618.7509732901,2.4451399508837914,203.04442152434473,0.0,bybit,0.00020548956147523132
2023-06-01,1002692.8467827649,-125.43567948209977,199.53148895685882,0.0,bybit,7.409580947482028e-05
