date,nav,basis_pnl,funding_pnl,switch_cost,venue,ret
2023-05-12,1000175.6538450836,0.0,175.65384508350547,0.0,hyperliquid,0.0
2023-05-13,1000349.1208354884,-25.728271583601835,199.19526198842786,0.0,hyperliquid,0.00017346699040487874
2023-05-14,999534.799841907,-88.21121685823057,-726.1097767231981,0.0,hyperliquid,-0.0008143209935814375
2023-05-15,998898.562221054,95.56215159640253,-731.7997724493871,0.0,hyperliquid,-0.0006362376208530041
2023-05-16,998238.8276657126,-106.58855370357688,-553.1460016377882,0.0,hyperliquid,-0.0006597345553414198
2023-05-17,998177.7567482778,14.701869476343905,-75.77278691105926,0.0,hyperliquid,-6.107091743475758e-05
2023-05-18,998297.7589201448,-80.86028212005861,200.86245398704676,0.0,hyperliquid,0.00012000217186694499
2023-05-19,998643.2186709926,147.0186947636062,198.44105608429072,0.0,hyperliquid,0.00034545975084789097
2023-05-20,998837.4296508288,22.052804214515856,172.1581756216496,0.0,hyperliquid,0.00019421097983617801
2023-05-21,998936.8986593186,-36.754673690776194,136.22368218049888,0.0,hyperliquid,9.946900848974473e-05
2023-05-22,999194.0866855041,66.15841264354758,191.02961354186968,0.0,hyperliquid,0.0002571880261854967
2023-05-23,998281.1863063468,-121.29042318000435,-791.6099559772566,0.0,hyperliquid,-0.0009129003791572759
2023-05-24,996993.4115012825,3.6754673691695467,-1291.4502724334043,0.0,hyperliquid,-0.0012877748050643132
2023-05-25,996497.9740962429,132.31682528726228,-627.7542303268826,0.0,hyperliquid,-0.0004954374050395563
2023-05-26,996013.4430654389,-33.07920632194093,-451.4518244820653,0.0,hyperliquid,-0.0004845310308040353
2023-05-27,995316.2345933955,11.026402107341498,-708.234874150772,0.0,hyperliquid,-0.0006972084720433923
2023-05-28,994625.161884742,18.37733684551345,-709.4500454990559,0.0,hyperliquid,-0.0006910727086535189
2023-05-29,994256.2953963534,-279.3355200507849,-89.53096833774202,0.0,hyperliquid,-0.00036886648838862314
2023-05-30,994296.408658444,297.7128568961312,-257.5995948055065,0.0,hyperliquid,4.011326209059916e-05
2023-05-31,994072.6464853829,-117.61495581083481,-106.14721725023804,0.0,hyperliquid,-0.00022376217306102625
2023-06-01,994282.829924618,3.6754673691695467,206.50797186596793,0.0,hyperliquid,0.00021018343923508655
2023-06-02,994638.6802217182,150.6941621326086,205.15613496761688,0.0,hyperliquid,0.0003558502971001435
2023-06-03,994815.7190313123,-33.07920632177379,210.11801591588744,0.0,hyperliquid,0.00017703880959411616
2023-06-04,995042.594605604,18.37733684534631,208.4982374463298,0.0,hyperliquid,0.00022687557429168373
2023-06-05,995364.7721084023,113.93948844183241,208.23801435659828,0.0,hyperliquid,0.0003221775027983822
2023-06-06,995695.6831496438,-367.5467369089319,698.4577781504379,0.0,hyperliquid,0.00033091104124148845
2023-06-07,996911.1093049848,341.81846532533007,873.6076900156485,0.0,hyperliquid,0.0012154261553409742
2023-06-08,998020.903161885,-216.8525747763233,1326.6464316764695,0.0,hyperliquid,0.0011097938569001853
2023-06-09,998978.4291574049,-29.40373895268781,986.9297344726316,0.0,hyperliquid,0.0009575259955199436
2023-06-10,999767.345804839,14.701869476343905,774.2147779577209,0.0,hyperliquid,0.0007889166474341182
2023-06-11,1000302.3555248055,40.43014105994574,494.5795789065485,0.0,hyperliquid,0.0005350097199664451
2023-06-12,1000980.8080919258,36.754673690943335,641.6978934292667,0.0,hyperliquid,0.0006784525671203155
2023-06-13,1002069.6982349996,0.0,1088.890143073693,0.0,hyperliquid,0.001088890143073746
2023-06-14,1003165.2763913544,-33.079206321857356,1128.6573626766758,0.0,hyperliquid,0.0010955781563548371
2023-06-15,1003658.2454842378,-44.10560842903171,537.074701312409,0.0,hyperliquid,0.0004929690928834025
2023-06-16,1004357.2032379301,205.8261726689818,493.1315810233615,0.0,hyperliquid,0.000698957753692288
2023-06-17,1004643.8513966661,-264.63365057435743,551.2818093104266,0.0,hyperliquid,0.0002866481587360613
2023-06-18,1004735.1644684344,-14.701869476427476,106.01494124469144,0.0,hyperliquid,9.131307176826521e-05
2023-06-19,1005145.5061313256,147.0186947636062,263.32296812752753,0.0,hyperliquid,0.00041034166289120915
2023-06-20,1005223.5365141829,-22.052804214599426,100.08318707193335,0.0,hyperliquid,7.803038285730872e-05
2023-06-21,1005375.861525326,-102.91308633440734,255.23809747751557,0.0,hyperliquid,0.00015232501114311164
2023-06-22,1006093.4254605168,66.15841264354758,651.4055225472101,0.0,hyperliquid,0.0007175639351907885
2023-06-23,1006631.4471660242,-62.4829452744616,600.5046507818274,0.0,hyperliquid,0.0005380217055074172
2023-06-24,1007171.4917840624,-73.5093473818031,613.5539654198665,0.0,hyperliquid,0.0005400446180381114
2023-06-25,1008074.1316460995,18.37733684542988,884.2625251917757,0.0,hyperliquid,0.0009026398620371474
2023-06-26,1009066.0135046842,22.052804214515856,969.829054370231,0.0,hyperliquid,0.0009918818585847038
