date,nav,ret,basis_pnl,funding_pnl,cost,q,F_entry,margin,rebalanced,N_target,N_actual
2021-01-01,998725.0,0.0,0.0,0.0,1275.0,1016.0934235871837,737.18,374521.875,True,750000.0,0.0
2021-01-02,1000058.7062703813,0.0013337062703813426,-30.482802707703303,1364.189073089078,0.0,1016.0934235871837,737.18,374521.875,False,750044.029702786,741443.371191568
2021-01-03,1002676.5639434113,0.0026178576730299975,193.05775048173587,2424.799922548197,0.0,1016.0934235871837,737.18,374521.875,False,752007.4229575585,787513.0470170107
2021-01-04,1008478.3727530064,0.005801808809595066,-1320.921450663408,7529.610498918904,406.8802386604953,771.6135800421889,980.23,378179.3897823774,True,756663.9397437501,996005.2566028651
2021-01-05,1010655.0749664059,0.0021767022133994613,177.47112340980522,1999.2310899897122,0.0,771.6135800421889,980.23,378179.3897823774,False,757991.3062248044,804885.557613608
2021-01-06,1016514.4967080705,0.005859421741664642,416.67133322275396,5591.114803794868,148.36439535306064,692.2662264535708,1101.29,381192.93626552646,True,762497.1458275677,849770.3195646622
2021-01-07,1018206.5114488774,0.0016920147408068878,-2146.0253020061637,3838.040042813045,0.0,692.2662264535708,1101.29,381192.93626552646,False,763654.883586658,839705.0873636523
2021-01-08,1022451.1933451069,0.004244681896229507,1100.703300061121,3284.7603759361205,140.78177976777354,624.7155967485378,1227.5,383419.19750441506,True,766943.9813436561,849756.7929717582
2021-01-09,1025189.2658654976,0.002738072520390735,506.0196333664236,2232.0528870244143,0.0,624.7155967485378,1227.5,383419.19750441506,False,768891.9493991232,761247.1904179307
2021-01-10,1029211.9371623852,0.004022671296887565,-1330.6442210744538,5353.315517961939,0.0,624.7155967485378,1227.5,383419.19750441506,False,771908.9528717889,799610.9752142584
2021-01-11,1031595.8590644317,0.002383921902046539,156.17889918713445,2227.743002859364,0.0,624.7155967485378,1227.5,383419.19750441506,False,773696.8942983238,785860.9849298232
2021-01-12,1034616.6061584519,0.003020747094020131,2417.649359416915,768.2023872981177,165.1046526949049,713.9619949751931,1086.84,387981.22730941937,True,776086.2831083601,678965.8991701808
2021-01-13,1034953.7306751878,0.00033712451673590115,-335.5621376385226,672.6866543744306,0.0,713.9619949751931,1086.84,387981.22730941937,False,776215.2980063908,750138.4492605862
2021-01-14,1036182.1181203638,0.0012283874451760202,-214.18859849252544,1442.5760436685782,0.0,713.9619949751931,1086.84,387981.22730941937,False,777136.5885902728,807062.6391199583
2021-01-15,1036080.0404838786,-0.00010207763648522087,-1427.9239899502238,1502.9748038285445,177.12845036353016,629.453244522405,1234.5,388530.01518145454,True,777192.8767006816,881386.0827968759
2021-01-16,1039245.5411974777,0.003165500713599147,1535.8659166345594,1629.6347969645797,0.0,629.453244522405,1234.5,388530.01518145454,False,779434.1558981083,735610.5342111087
2021-01-17,1039393.3345467136,0.00014779334923590068,-1460.3315272919397,1608.1248765278463,0.0,629.453244522405,1234.5,388530.01518145454,False,779545.0009100352,774428.9158008053
2021-01-18,1042179.6006771623,0.0027862661304486683,868.6454774409876,1917.620653007652,0.0,629.453244522405,1234.5,388530.01518145454,False,781634.7005078717,776499.816975284
2021-01-19,1044184.7719771038,0.0020051712999414883,-2121.2574340405795,4126.428733981988,0.0,629.453244522405,1234.5,388530.01518145454,False,783138.5789828278,794999.4478317975
2021-01-20,1048101.3618292286,0.003916589852124802,1548.4549815249961,2368.1348705998703,0.0,629.453244522405,1234.5,388530.01518145454,False,786076.0213719214,860701.7774950463
2021-01-21,1048854.641962711,0.000753280133482418,-308.4320898158411,1200.1194429431475,138.4072196449787,570.3479343343992,1379.23,393320.49073601665,True,786744.7868867669,868160.7984426367
2021-01-22,1050413.8332766502,0.001559191313939169,1522.8289846728871,297.96229805644344,261.5999687900947,708.5772651665627,1111.82,393905.18747874384,True,788006.5749340802,634124.2403516716
2021-01-23,1049347.3394215372,-0.0010664938551129307,-1480.9264841982192,563.4286621764655,148.9960330911871,637.4929160384863,1234.54,393505.25228307646,True,787122.2515909713,874766.9769387284
2021-01-24,1051119.9765085292,0.0017726370869919192,-165.74815817000064,1938.3852451617652,0.0,637.4929160384863,1234.54,393505.25228307646,False,788339.9823813969,787718.1217029557
2021-01-25,1053267.4778651071,0.0021475013565779664,95.62393740583093,2219.727348392677,167.8499292204082,566.5855765539619,1394.23,394975.30419941514,True,790076.4958457458,888811.7483283388
2021-01-26,1054464.0638688651,0.0011965860037580133,628.9099899748411,567.6760137831781,0.0,566.5855765539619,1394.23,394975.30419941514,False,790848.0479016488,747060.0802536954
2021-01-27,1054328.666347957,-0.00013539752090815455,-572.2514323194964,436.8539114113616,0.0,566.5855765539619,1394.23,394975.30419941514,False,790746.4997609677,775361.0298025658
2021-01-28,1056062.605771319,0.001733939423362026,1314.4785376052844,573.170926487538,153.71004073081747,639.4953407843764,1238.55,396023.4771642447,True,792162.2368590374,701744.5658409095
2021-01-29,1058818.1674996659,0.00275556172834686,-780.1843157569566,3535.746044103854,0.0,639.4953407843764,1238.55,396023.4771642447,False,794113.6256247493,850707.8619386401
2021-01-30,1059363.1190049557,0.0005449515052898787,-1112.7218929649662,1809.3745560771179,151.7011578223786,574.8493924303738,1382.14,397261.16962685843,True,794636.1151220836,883872.090311718
2021-01-31,1061865.3871019077,0.0025022680969520004,114.9698784861009,2387.298218465851,0.0,574.8493924303738,1382.14,397261.16962685843,False,796399.0403264308,793533.5982987366
2021-02-01,1063865.2039969016,0.0019998168949938843,1000.2379428289863,1072.8912796776149,73.31232751274929,607.6498206502802,1313.09,398949.45149883814,True,797953.8872433108,754828.9887063995
2021-02-02,1065462.6616971858,0.0015974577002841979,-1221.3761395071958,2818.833839791383,0.0,607.6498206502802,1313.09,398949.45149883814,False,799096.9962728894,836575.8140820668
2021-02-03,1068654.5858986175,0.0031919242014316843,-984.3927094533875,4379.764636732951,203.44772584773,528.6182162141955,1516.2,400745.46971198166,True,801643.525218349,921318.6580699548
2021-02-04,1073913.323487516,0.005258737588898512,1501.2757340483922,3757.461854850064,0.0,528.6182162141955,1516.2,400745.46971198166,False,805434.992615637,880730.8100344711
2021-02-05,1078217.3112345352,0.004303987747019157,544.4767627004868,3759.5109843185637,0.0,528.6182162141955,1516.2,400745.46971198166,False,808662.9834259014,843637.6698027211
2021-02-06,1080509.2834574068,0.002291972222871613,-888.078603239762,3348.791619898156,168.7407937866271,470.87032915931457,1721.03,405190.98129652755,True,810508.5181883951,909767.8086511169
2021-02-07,1082339.2246129094,0.0018299411555025727,-447.3268127014773,2277.267968204138,0.0,470.87032915931457,1721.03,405190.98129652755,False,811754.418459682,790770.2133835697
2021-02-08,1086049.0585268026,0.003709833913893206,1172.4671196068045,2537.3667942863062,0.0,470.87032915931457,1721.03,405190.98129652755,False,814536.7938951019,759042.970604815
2021-02-09,1088178.9401333556,0.002129881606552983,-2533.2823708770566,4663.163977429977,0.0,470.87032915931457,1721.03,405190.98129652755,False,816134.2051000167,826659.9498720926
2021-02-10,1093931.3946318603,0.0057524544985047546,1916.4422396783802,3836.012258826343,0.0,470.87032915931457,1721.03,405190.98129652755,False,820448.5459738952,833906.6442378545
2021-02-11,1096220.1878483528,0.0022887932164925152,-324.90052711995276,2613.6937436125,0.0,470.87032915931457,1721.03,405190.98129652755,False,822165.1408862646,820868.2448234331
