decile,n,mean_8h,median_8h,mean_24h,median_24h,mean_72h,median_72h
0,1098,0.0006272161640375148,0.0006042461549389255,0.002240729834999581,0.0022327399687929184,0.004378269948770492,0.006265478366293098
1,753,-0.00023484695122469578,0.00039721074091214614,0.00025181047503321897,0.001035810185060826,-0.0010487467406348058,-3.112819165312919e-05
2,594,0.0009344060185768905,0.0009206500714949994,0.0027364452284426534,0.002333858226667096,0.009610264667612459,0.008899460863711628
3,573,0.000986263496787886,0.0006321738401895427,0.0026967245844570276,0.002463656062211883,0.004704861626627985,0.0019732541262972303
4,529,2.0260366889795636e-05,0.00028115799183692225,-0.0012525433425360142,-0.0015868041367983476,-0.005393780461150767,-0.003416706589663532
5,502,-0.0015881519948880822,-0.00038156238144831933,-0.003237318175787971,-0.00039717804526379075,-0.004201069194229737,0.003349503734064063
6,494,0.0006559115406997045,2.4036829864848563e-05,0.002066969336695604,0.0005566980100365493,0.0064220701338580525,-0.00034428749460535535
7,518,0.00035887704703381316,0.0003330360999684867,-0.00037725130577215054,-0.002202559319545161,0.0017484816500425123,-0.0034124835980721135
8,433,-0.0001681516896981581,6.0741963079147254e-05,-0.0007739278861281356,-5.3125899994732606e-05,0.002827541033115087,0.0035202135703058524
9,350,0.00019941526696374312,5.0753186195184874e-05,0.0004889118900336038,-0.000504632837377339,-0.0014465646175143756,0.00036214858935124106
