ts,oi_signal_ts,funding_pctile,oi_chg_7d_pctile,entry_ts,exit_ts,net_bp,year
1688169600000,1688169300000,77.77777777777779,87.77777777777777,1688169660000,1688256060000,43.830951704178624,2023
1688198400000,1688169300000,77.4074074074074,87.77777777777777,1688198460000,1688284860000,15.484387860351234,2023
1688227200000,1688169300000,77.03703703703704,87.77777777777777,1688227260000,1688313660000,9.251217177812087,2023
1688256000000,1688255700000,76.66666666666667,90.0,1688256060000,1688342460000,-89.00935667650977,2023
1688284800000,1688255700000,76.29629629629629,90.0,1688284860000,1688371260000,-303.4461859979103,2023
1688313600001,1688255700000,75.92592592592592,90.0,1688313660000,1688400060000,-273.0184618432656,2023
1690272000000,1690242900000,77.4074074074074,78.88888888888889,1690272060000,1690358460000,-26.755722508985823,2023
1690588800000,1690588500000,76.66666666666667,92.22222222222223,1690588860000,1690675260000,-51.58374929930808,2023
1690646400001,1690588500000,76.29629629629629,92.22222222222223,1690646460000,1690732860000,-35.57935219212037,2023
1690675200000,1690674900000,75.92592592592592,82.22222222222221,1690675260000,1690761660000,91.36169216940783,2023
1694822400000,1694822100000,76.29629629629629,92.22222222222223,1694822460000,1694908860000,35.58274958884124,2023
1695772800000,1695772500000,80.74074074074075,93.33333333333333,1695772860000,1695859260000,-43.07049752618241,2023
1696924800000,1696895700000,80.37037037037037,97.77777777777777,1696924860000,1697011260000,199.4416682912721,2023
1697472000000,1697414100000,80.0,75.55555555555556,1697472060000,1697558460000,2.9303446307966787,2023
1698796800000,1698796500000,83.7037037037037,87.77777777777777,1698796860000,1698883260000,-196.45281772335974,2023
1698825600000,1698796500000,83.7037037037037,87.77777777777777,1698825660000,1698912060000,-169.01215184547502,2023
1698854400000,1698796500000,83.7037037037037,87.77777777777777,1698854460000,1698940860000,-79.3379790940778,2023
1698883200001,1698882900000,100.0,95.55555555555556,1698883260000,1698969660000,247.15166261151626,2023
1698912000000,1698882900000,99.62962962962963,95.55555555555556,1698912060000,1698998460000,189.07363531791302,2023
1698940800000,1698882900000,83.33333333333334,95.55555555555556,1698940860000,1699027260000,-58.863664309016116,2023
1699142400000,1699142100000,81.85185185185185,93.33333333333333,1699142460000,1699228860000,-198.98777874686346,2023
1699171200000,1699142100000,81.85185185185185,93.33333333333333,1699171260000,1699257660000,21.11880447525928,2023
1699200000000,1699142100000,81.48148148148148,93.33333333333333,1699200060000,1699286460000,-160.72613966194348,2023
1699228800000,1699228500000,81.48148148148148,87.77777777777777,1699228860000,1699315260000,-67.60031293279333,2023
1699257600001,1699228500000,81.11111111111111,87.77777777777777,1699257660000,1699344060000,-86.88078747451188,2023
1699286400000,1699228500000,81.11111111111111,87.77777777777777,1699286460000,1699372860000,192.38993763606007,2023
1699315200001,1699314900000,80.74074074074075,81.11111111111111,1699315260000,1699401660000,68.3904265163633,2023
1699344000000,1699314900000,80.74074074074075,81.11111111111111,1699344060000,1699430460000,80.02251466624323,2023
1699372800000,1699314900000,80.37037037037037,81.11111111111111,1699372860000,1699459260000,-154.77927935183476,2023
1699574400000,1699574100000,99.62962962962963,88.88888888888889,1699574460000,1699660860000,198.37512540447477,2023
1699603200000,1699574100000,99.62962962962963,88.88888888888889,1699603260000,1699689660000,218.87164054415777,2023
1699632000000,1699574100000,98.14814814814815,88.88888888888889,1699632060000,1699718460000,80.84226435308219,2023
1699660800000,1699660500000,98.14814814814815,81.11111111111111,1699660860000,1699747260000,92.49458143250467,2023
1699689600000,1699660500000,97.77777777777777,81.11111111111111,1699689660000,1699776060000,-23.47669219703906,2023
1699718400000,1699660500000,98.88888888888889,81.11111111111111,1699718460000,1699804860000,41.7698900536463,2023
1703289600000,1703289300000,91.11111111111111,82.22222222222221,1703289660000,1703376060000,51.40610227760979,2023
1703318400001,1703289300000,87.03703703703704,82.22222222222221,1703318460000,1703404860000,-58.96819855996925,2023
1703347200000,1703289300000,90.74074074074075,82.22222222222221,1703347260000,1703433660000,-40.09539462181232,2023
1703721600000,1703721300000,93.33333333333333,76.66666666666667,1703721660000,1703808060000,117.78844950069936,2023
