decile,n,mean_24h,median_24h,mean_72h,median_72h,mean_168h,median_168h
0,134,0.0010229172885311132,0.0018859917303162277,0.0015576471995069998,-0.0005592109177007254,0.009376654278818182,-0.0005543066547594178
1,113,0.002475164142447003,0.004736164496892625,0.007250451039445528,0.004931643327613866,0.019585858964960578,0.012536887257245333
2,140,0.0012338994335415131,0.0004267221093094964,0.003267122970279438,0.001293305410706047,-0.010240815839371425,-0.004662550564189849
3,109,0.0064509333186939825,0.001895682261567222,0.02220774560062971,0.012256817623659377,0.02756043006879635,0.015066266743938739
4,115,-0.004136505290804007,-0.00036647080461926773,-0.008952544242512838,-0.005190958139450197,0.0049866832151326925,0.0003646884345140933
5,117,0.0031941261528055237,0.000678404743807981,0.0055940727364746515,0.003013015406688746,0.003484562233764613,0.002789906621531113
6,123,-0.003836723196383414,-0.003259886607930973,-0.010896368408646731,-0.004537305855662921,-0.010508295487385352,-0.015704456109937537
7,112,0.0010374020462711186,-0.0005517689994354869,0.00897766180443832,0.00558784525151057,0.01205084472703919,0.0033558398865543015
8,121,0.001571345420983885,-0.0006130140914141213,-0.0009567216189080122,-0.0002395490840770842,-0.002042898364162217,-0.009978143963982222
9,134,-0.0026341965929386427,0.002363098128313257,-0.007363235248681403,-0.003947543250259533,-0.00776002265092135,-0.004136532684191729
