ts,rate,interval_hours,pctile,decile,fwd_ret_8h,fwd_ret_24h,fwd_ret_72h
1617235200025,0.00109277,8.0,81.85185185185185,8,0.0008430166750532653,-0.0007660854595415989,-0.036181446942001205
1617264000011,0.00095247,8.0,75.92592592592592,7,0.003556386776193632,0.011432055263729035,-0.02070879658923519
1617292800004,0.00051932,8.0,52.59259259259259,5,-0.005145832981079734,0.007239064639940507,-0.021355189963309318
1617321600000,0.00071058,8.0,65.18518518518519,6,0.013060800500895198,0.00432793676810439,-0.009260577994128383
1617350400000,0.00106221,8.0,81.48148148148148,8,-0.0006039544927000096,-0.0025402997023510343,-0.0379837046367264
1617379200000,0.0010197,8.0,78.51851851851852,7,-0.008021165953849496,-0.011243363816774377,-0.006639120889746275
1617408000003,0.00063267,8.0,60.0,5,0.006132843125558507,-0.039599067982484026,0.004503893926402158
1617436800000,0.00107843,8.0,82.22222222222221,8,-0.00932391366213381,-0.029311729804970876,-0.014540569015058624
1617465600000,0.00101313,8.0,78.88888888888889,7,-0.036469276770519476,-0.01734034664055295,-0.017413180272917383
1617494400000,0.0005209,8.0,51.85185185185185,5,0.01691003884005271,0.0271439865931955,0.023066512290833785
1617523200000,0.00048495,8.0,48.148148148148145,4,0.0028939768651656816,-0.0064098243427777035,0.0019998970768615454
1617552000016,0.00026521,8.0,31.48148148148148,3,0.007149102824654863,0.02238511098567919,-0.024740847398211363
1617580800000,0.00039464,8.0,41.85185185185185,4,-0.016309458744998118,0.018281195695321273,-0.03910159883267128
1617609600001,0.00043217,8.0,45.18518518518518,4,0.03195854283274824,0.021766547431039562,-0.0035673030240461756
1617638400001,0.00037409,8.0,40.74074074074074,4,0.0031063457868811817,-0.021967485269276388,-0.021751011057928538
1617667200010,0.00097189,8.0,77.03703703703704,7,-0.012942503183148935,-0.02185144541409234,-0.02002410399285981
1617696000000,0.00057776,8.0,58.51851851851851,5,-0.012211731454552899,-0.013019190595174646,-0.008841771460560532
1617724800003,0.00083736,8.0,72.96296296296296,7,0.0032253605571941346,-0.024668556924581475,0.008068152955385433
1617753600000,0.00057609,8.0,58.51851851851851,5,-0.0040298045016075035,-0.035271898132990476,0.002097399744447115
1617782400006,0.00053749,8.0,55.55555555555556,5,-0.023870628250241777,-0.011930299287253088,0.04876393757460651
1617811200004,0.0005366,8.0,55.55555555555556,5,-0.007681230102258629,0.025519420620645716,0.07152088143439661
1617840000013,0.00040784,8.0,43.333333333333336,4,0.02006769687794563,0.038497957668028215,0.07309013396555164
1617868800003,0.00024943,8.0,30.74074074074074,3,0.013126530492235666,0.016357978021116493,0.047302623380950815
1617897600005,0.00026225,8.0,31.48148148148148,3,0.0048771336488018235,0.007845080137664606,0.03368233177879332
1617926400000,0.00019611,8.0,28.14814814814815,2,-0.0016793637499474823,0.00022880879836018053,0.03617190331100595
1617955200004,0.00026301,8.0,32.22222222222222,3,0.004640698842752533,0.04434372855613988,0.045989411629987265
1617984000004,0.00021785,8.0,28.51851851851852,2,-0.002716708959911829,0.03672356329374815,0.027443902530995823
1618012800011,0.00012959,8.0,22.22222222222222,2,0.04235139638544183,0.0330734401035333,0.03093660386892294
1618041600005,0.00148624,8.0,95.92592592592592,9,-0.0026897690340361713,-0.013307044068649576,0.010303333991224406
1618070400000,0.00119652,8.0,89.25925925925927,8,-0.006227969817409806,-0.010694682335513406,0.051275683968970975
1618099200004,0.00086735,8.0,77.77777777777779,7,-0.0044456274902884285,0.0027698245672409527,0.06033090161957122
1618128000000,0.00099427,8.0,81.48148148148148,8,-4.929707385936677e-05,0.015083567731171588,0.07738938739278312
1618156800000,0.00105998,8.0,85.18518518518519,8,0.00729732932052074,0.0017625826121818733,0.057399329159085744
1618185600001,0.00093793,8.0,78.51851851851852,7,0.0077795118671941665,-0.0048248867399230955,0.05108055596525207
1618214400001,0.00106358,8.0,85.92592592592592,8,-0.01317169296011611,0.008713796776301796,0.03805452070084403
1618243200008,0.00094343,8.0,78.14814814814814,7,0.000673464144748781,0.06077058845118266,0.04938292200360994
1618272000003,0.00084072,8.0,74.07407407407408,7,0.02148966969118682,0.06252866381246935,0.056399380036432856
1618300800008,0.00089928,8.0,76.29629629629629,7,0.03775565210309706,0.052211235546497425,0.0027103198934739225
1618329600008,0.0012267,8.0,90.0,8,0.0023319371276535605,-0.004932012426513643,-0.03171453365503629
1618358400008,0.00090508,8.0,75.92592592592592,7,0.011570740677399716,-0.005978357226574471,-0.03539505043547575
1618387200000,0.00108567,8.0,85.92592592592592,8,-0.018602545338808785,-0.021976549330596784,-0.03455511788307419
1618416000012,0.00104786,8.0,82.96296296296296,8,0.0012779540597167571,-0.005832028537918532,-0.0477386803630806
1618444800006,0.00076335,8.0,68.14814814814815,6,-0.004709893807592125,0.0002110368316883271,-0.04912328165587987
1618473600000,0.00082082,8.0,70.74074074074073,7,-0.0024023288697508915,-0.02563139635127676,-0.10621376603587829
1618502400008,0.00110324,8.0,86.29629629629629,8,0.007364237568358023,-0.021206918478952064,-0.11398496121073387
1618531200008,0.00109647,8.0,86.29629629629629,8,-0.030425185000956367,-0.029798362687091906,-0.1125307019841798
1618560000000,0.00120022,8.0,88.88888888888889,8,0.0021276290998202274,0.013106110618483768,-0.06675468853150623
1618588800002,0.00115519,8.0,87.03703703703704,8,-0.0014779925288289641,-0.0213993828163066,-0.11556845866493426
1618617600008,0.00054906,8.0,55.925925925925924,5,0.012451568828380388,-0.020125246018965814,-0.09325167943525425
1618646400000,0.00054007,8.0,55.55555555555556,5,-0.03200394701476483,-0.09456882221420004,-0.12732383948399628
1618675200001,0.00087572,8.0,72.96296296296296,7,-0.00017791810588918544,-0.07499364341095571,-0.07967693922437002
1618704000006,0.00081624,8.0,68.14814814814815,6,-0.06446695081083342,-0.06648614946585185,-0.06306177844855698
1618732800004,0.00058448,8.0,58.88888888888889,5,-0.01107613241889549,0.01738524989832868,-0.017325276286717983
1618761600000,0.0001,8.0,0.0,0,0.009017673089030787,-0.022956230042439185,0.008361698779683291
1618790400000,0.0001,8.0,0.0,0,0.01958586312656818,-0.008722096404326862,-0.04083630412145289
1618819200000,0.0001,8.0,0.0,0,-0.05028905827068719,-0.05264613714623756,-0.054813986974065254
1618848000009,0.0001,8.0,0.0,0,0.02371762087396001,0.018313654806907387,0.003146850257417011
1618876800004,0.0001,8.0,0.0,0,-0.025592518061392067,0.012499376636665005,-0.07292454092653855
1618905600000,0.0001,8.0,0.0,0,0.02084728632364552,0.019558425826547765,-0.1138066948579971
1618934400001,0.0001,8.0,0.0,0,0.017872487611292787,0.013493001388054537,-0.10251442200790561
1618963200013,0.0001,8.0,0.0,0,-0.018799041932208493,-0.04434190596953336,-0.09326314069986286
1618992000001,0.0001,8.0,0.0,0,0.014774194363842197,-0.021427655705765547,-0.10070600938577179
1619020800002,0.0001,8.0,0.0,0,-0.040212334821828954,-0.028009114603721907,-0.10783093641414432
1619049600000,0.0001,8.0,0.0,0,0.0047276612398334805,-0.041884694453966254,-0.07014758438034552
1619078400000,0.0001,8.0,0.0,0,0.007949257311560043,-0.11177414890672566,-0.08230685487591116
1619107200001,0.0001,8.0,0.0,0,-0.053913708556449724,-0.08894513417741534,-0.07872926735548624
1619136000002,0.0001,8.0,0.0,0,-0.06856191853327154,-0.009713291588567041,-0.04757711433255685
1619164800009,0.00047618,8.0,50.37037037037037,5,0.03385538063958582,0.03463066139841375,0.09944533772077424
1619193600001,0.0001,8.0,0.0,0,0.028364717179679477,0.007489283585082607,0.0782814191943233
1619222400019,0.0001,8.0,0.0,0,-0.02685314253535742,-0.019979194485835183,0.05343898657919288
