t_stat,p_value,n_top,n_bottom,horizon,mean_diff_top_minus_bottom,inference_scope
-1.4701001725297353,0.14195339000214166,342,1084,8h,-0.0014573606289916105,exploratory_uncorrected
-0.5082356803442585,0.6114386001501315,340,1084,24h,-0.000862441094958574,exploratory_uncorrected
0.39750151793323657,0.6911199347603088,337,1084,72h,0.0011245658193250576,exploratory_uncorrected
