decile,n,mean_24h,median_24h,mean_72h,median_72h,mean_168h,median_168h
0,138,-0.0008859106392808016,-0.002466628083176603,0.0008806817906469166,0.0007759933257260876,0.005847487197560634,-0.0011144107883652166
1,107,0.0025947543681033897,0.0023408177610377834,0.006707198929585858,0.006618265256077782,0.012356402316855997,0.009713380669645444
2,124,0.006523290721952705,0.002854154328378322,0.008840349841164875,0.005552850994343772,0.021556140345580937,0.013339490688825784
3,116,0.0002536169994613409,3.821479509280579e-05,0.00844455874065899,0.009007414107231604,0.009872121005797188,0.005170337957239202
4,127,-0.00047606813952133205,-0.0025286458505715537,-0.0013654726738433801,0.0015039726743826254,0.0024019982112060963,-0.004529592120309234
5,120,0.00293058159178724,0.0017030826434557556,0.004670413330329942,0.0008837277446651637,0.015295480535800694,0.009432090698416329
6,140,0.00029745761297423425,0.00041123822672983756,0.0020096449194850993,0.0020414186839143866,-0.00048796331826220327,0.000904302217801245
7,117,-0.0025914505632979113,-0.004758505002110558,-0.0008885164637535692,-0.00135540932775291,0.004592378800726712,-0.004597297873296768
8,95,0.002120873525915348,0.001823747801732667,-0.003879646057147709,-0.0033989483704854884,-0.006233088372927318,-0.005907621571610511
9,134,-0.0007059320718901766,0.0012073650572835826,0.002586964673426942,0.0038429329143131463,0.0011318414011714632,0.002556230133524351
