ts,entry_ts,exit_ts,leg,net_bp,year
1622736000003,1622736060000,1622822460000,bottom,506.05491951573663,2021
1622764800003,1622764860000,1622851260000,bottom,526.1359542565453,2021
1622793600006,1622793660000,1622880060000,bottom,-686.8042068468576,2021
1622822400002,1622822460000,1622908860000,bottom,15.871349528733937,2021
1622851200000,1622851260000,1622937660000,bottom,231.55656028106054,2021
1622880000004,1622880060000,1622966460000,bottom,302.0215756548468,2021
1622908800020,1622908860000,1622995260000,bottom,-344.9689988462061,2021
1622937600000,1622937660000,1623024060000,bottom,-338.11382546255754,2021
1622966400004,1622966460000,1623052860000,bottom,-280.7413280328712,2021
1622995200000,1622995260000,1623081660000,bottom,-225.13609233450737,2021
1623024000007,1623024060000,1623110460000,bottom,380.8244836075532,2021
1623052800007,1623052860000,1623139260000,bottom,892.7562442433763,2021
1623081600003,1623081660000,1623168060000,bottom,1498.0131965861005,2021
1623110400000,1623110460000,1623196860000,bottom,347.477633212266,2021
1623139200000,1623139260000,1623225660000,bottom,88.32332741478723,2021
1623168000002,1623168060000,1623254460000,bottom,-885.0328860648265,2021
1623196800009,1623196860000,1623283260000,bottom,-364.78723412712566,2021
1623225600002,1623225660000,1623312060000,bottom,-221.926156315843,2021
1623254400000,1623254460000,1623340860000,bottom,233.24751567157477,2021
1623283200007,1623283260000,1623369660000,bottom,503.2771330481329,2021
1623312000003,1623312060000,1623398460000,bottom,374.5892214062181,2021
1623340800000,1623340860000,1623427260000,bottom,353.1633107658478,2021
1623369600010,1623369660000,1623456060000,bottom,459.8956473847045,2021
1623398400007,1623398460000,1623484860000,bottom,501.4373506986476,2021
1623427200006,1623427260000,1623513660000,bottom,84.24726872592949,2021
1623456000005,1623456060000,1623542460000,bottom,-105.35739489010587,2021
1623484800000,1623484860000,1623571260000,bottom,-27.153865727064673,2021
1623513600018,1623513660000,1623600060000,bottom,173.4148778837059,2021
1623542400002,1623542460000,1623628860000,bottom,-605.1222138436844,2021
1623571200000,1623571260000,1623657660000,bottom,-782.0380401075038,2021
1623600000003,1623600060000,1623686460000,bottom,-989.1102709514803,2021
1623628800000,1623628860000,1623715260000,bottom,-280.41634614237296,2021
1623657600015,1623657660000,1623744060000,bottom,-485.14492336245206,2021
1623686400000,1623686460000,1623772860000,bottom,81.04265281500834,2021
1623715200000,1623715260000,1623801660000,bottom,141.47694966080218,2021
1623744000000,1623744060000,1623830460000,bottom,321.84555382811243,2021
1623772800004,1623772860000,1623859260000,bottom,518.9986018039478,2021
1623801600004,1623801660000,1623888060000,bottom,655.3139600780818,2021
1623830400001,1623830460000,1623916860000,bottom,328.6154667088277,2021
1623859200000,1623859260000,1623945660000,bottom,10.863478404765218,2021
1623888000004,1623888060000,1623974460000,bottom,-2.780584506240512,2021
1623916800000,1623916860000,1624003260000,bottom,410.1856200911065,2021
1623945600002,1623945660000,1624032060000,bottom,769.0573285390196,2021
1623974400009,1623974460000,1624060860000,bottom,571.4161124552926,2021
1624003200014,1624003260000,1624089660000,bottom,410.7252770737253,2021
1624032000007,1624032060000,1624118460000,bottom,-117.98761687919978,2021
1624060800003,1624060860000,1624147260000,bottom,284.6647769320827,2021
1624089600001,1624089660000,1624176060000,bottom,151.11476346495635,2021
1624118400000,1624118460000,1624204860000,bottom,587.0714810575856,2021
1624147200005,1624147260000,1624233660000,bottom,-426.15903837263033,2021
1624176000000,1624176060000,1624262460000,bottom,857.114298292992,2021
1624204800002,1624204860000,1624291260000,bottom,621.3884350776107,2021
1624233600019,1624233660000,1624320060000,bottom,1575.547765468552,2021
1624262400000,1624262460000,1624348860000,bottom,338.8493442182823,2021
1624291200024,1624291260000,1624377660000,bottom,529.5079588346614,2021
1624320000008,1624320060000,1624406460000,bottom,71.52603792710278,2021
1624348800009,1624348860000,1624435260000,bottom,-355.3266541948179,2021
1624377600001,1624377660000,1624464060000,bottom,-593.1332263242377,2021
1624406400003,1624406460000,1624492860000,bottom,-476.8426590555712,2021
1624435200000,1624435260000,1624521660000,bottom,435.31725306488477,2021
1624464000000,1624464060000,1624550460000,bottom,-54.56159090449319,2021
1624492800009,1624492860000,1624579260000,bottom,-162.10064736777707,2021
1624521600018,1624521660000,1624608060000,bottom,-132.5009705495599,2021
1624550400001,1624550460000,1624636860000,bottom,785.8448565930904,2021
1624579200009,1624579260000,1624665660000,bottom,876.1292891603729,2021
1624608000004,1624608060000,1624694460000,bottom,939.5621277363792,2021
1624636800000,1624636860000,1624723260000,bottom,253.72955482433412,2021
1624665600007,1624665660000,1624752060000,bottom,-74.55634768151741,2021
1624694400000,1624694460000,1624780860000,bottom,-624.8628237869395,2021
1624723200002,1624723260000,1624809660000,bottom,-364.53471874525457,2021
1624752000005,1624752060000,1624838460000,bottom,-788.3407624665522,2021
1624780800010,1624780860000,1624867260000,bottom,-987.836896959277,2021
1624809600001,1624809660000,1624896060000,bottom,-1520.5656455855824,2021
1624838400025,1624838460000,1624924860000,bottom,-604.4012188928398,2021
1624867200017,1624867260000,1624953660000,bottom,-445.3961628652696,2021
1624896000007,1624896060000,1624982460000,bottom,-515.1171099680212,2021
1624924800008,1624924860000,1625011260000,bottom,-401.6753386884069,2021
1624953600000,1624953660000,1625040060000,bottom,-139.49336161705503,2021
1624982400000,1624982460000,1625068860000,bottom,537.422299789488,2021
1625155200028,1625155260000,1625241660000,bottom,5.750456051698116,2021
1625184000002,1625184060000,1625270460000,bottom,-254.87695154937583,2021
1625212800016,1625212860000,1625299260000,bottom,-696.4876773058274,2021
1625241600007,1625241660000,1625328060000,bottom,-510.6749792186187,2021
1625299200000,1625299260000,1625385660000,bottom,-636.093393642098,2021
1625328000004,1625328060000,1625414460000,bottom,-539.4585050665028,2021
1625443200004,1625443260000,1625529660000,bottom,512.7747673073264,2021
1625529600008,1625529660000,1625616060000,bottom,-579.8649069879784,2021
1625558400019,1625558460000,1625644860000,bottom,-152.5245131132562,2021
1625702400002,1625702460000,1625788860000,bottom,815.9346235441818,2021
1625817600006,1625817660000,1625904060000,bottom,-13.057630600619584,2021
1626163200013,1626163260000,1626249660000,bottom,628.4499810319606,2021
1626278400005,1626278460000,1626364860000,bottom,375.49584043299626,2021
1626652800002,1626652860000,1626739260000,bottom,351.5337258788549,2021
1626739200002,1626739260000,1626825660000,bottom,161.31603093747572,2021
1626768000011,1626768060000,1626854460000,bottom,-653.019375067451,2021
1626796800001,1626796860000,1626883260000,bottom,-853.6997423825181,2021
1626854400000,1626854460000,1626940860000,bottom,-627.3442960795721,2021
1626883200018,1626883260000,1626969660000,bottom,-412.54330144030837,2021
1627142400001,1627142460000,1627228860000,bottom,69.89456707149967,2021
1627171200003,1627171260000,1627257660000,bottom,-7.267812817718809,2021
1628352000002,1628352060000,1628438460000,top,-179.6777475352711,2021
1628380800000,1628380860000,1628467260000,top,-431.3225847403839,2021
1628467200000,1628467260000,1628553660000,top,445.5420808065409,2021
1628496000000,1628496060000,1628582460000,top,642.0354584454386,2021
1628553600000,1628553660000,1628640060000,top,-56.71609785754471,2021
1628640000006,1628640060000,1628726460000,top,15.860998483099976,2021
1628668800003,1628668860000,1628755260000,top,-322.67776496203646,2021
1628755200001,1628755260000,1628841660000,top,266.5772565991505,2021
1628784000000,1628784060000,1628870460000,top,613.9741756517998,2021
1628870400002,1628870460000,1628956860000,top,145.5247194956362,2021
1628928000000,1628928060000,1629014460000,top,-475.4910640662806,2021
1628956800000,1628956860000,1629043260000,top,-354.80100316547737,2021
1628985600003,1628985660000,1629072060000,top,140.81628569417927,2021
1629014400000,1629014460000,1629100860000,top,363.45408486383747,2021
1629072000012,1629072060000,1629158460000,top,-528.5842560537994,2021
1629417600000,1629417660000,1629504060000,top,289.1824586619281,2021
1629446400001,1629446460000,1629532860000,top,224.4674434288603,2021
1629475200001,1629475260000,1629561660000,top,-75.053290887918,2021
1629561600000,1629561660000,1629648060000,top,-297.67774599629803,2021
1629590400005,1629590460000,1629676860000,top,31.96974794081055,2021
1629619200007,1629619260000,1629705660000,top,162.51305645970393,2021
1629705600005,1629705660000,1629792060000,top,55.17013870100908,2021
1629734400002,1629734460000,1629820860000,top,-375.2054201844794,2021
1629763200006,1629763260000,1629849660000,top,-449.6843355024864,2021
1629792000004,1629792060000,1629878460000,top,-503.88085108923826,2021
1629820800000,1629820860000,1629907260000,top,7.757562155557686,2021
1629849600015,1629849660000,1629936060000,top,126.03771213073611,2021
1629878400000,1629878460000,1629964860000,top,-271.447810390834,2021
1630137600000,1630137660000,1630224060000,top,-104.9756934462258,2021
1630195200000,1630195260000,1630281660000,top,-86.8282349464715,2021
1630425600003,1630425660000,1630512060000,top,557.6407705184733,2021
1630540800009,1630540860000,1630627260000,top,-111.56301379879484,2021
1630569600006,1630569660000,1630656060000,top,142.21157526703567,2021
1630598400007,1630598460000,1630684860000,top,557.5007579585651,2021
1630627200011,1630627260000,1630713660000,top,372.73931159611374,2021
1630656000000,1630656060000,1630742460000,top,304.04017349559956,2021
