ts,oi_signal_ts,funding_pctile,oi_chg_7d_pctile,entry_ts,exit_ts,net_bp,year
1685001600025,1684972500000,75.92592592592592,81.11111111111111,1685001660000,1685260860000,-423.64039785768904,2023
1685030400016,1684972500000,75.55555555555556,81.11111111111111,1685030460000,1685289660000,-418.5733045752131,2023
1685059200000,1685058900000,75.18518518518519,81.11111111111111,1685059260000,1685318460000,-621.678040562234,2023
1687334400000,1687305300000,80.0,97.77777777777777,1687334460000,1687593660000,-599.729278151268,2023
1687392000000,1687391700000,80.0,94.44444444444444,1687392060000,1687651260000,-195.83394522639952,2023
1687420800001,1687391700000,80.0,94.44444444444444,1687420860000,1687680060000,-216.99340520606668,2023
1687449600000,1687391700000,75.92592592592592,94.44444444444444,1687449660000,1687708860000,-268.3529356540053,2023
1687478400000,1687478100000,80.37037037037037,94.44444444444444,1687478460000,1687737660000,-210.83708476277982,2023
1687507200000,1687478100000,80.0,94.44444444444444,1687507260000,1687766460000,-170.57564260139978,2023
1687536000000,1687478100000,79.62962962962963,94.44444444444444,1687536060000,1687795260000,238.39232532418555,2023
1687564800000,1687564500000,79.25925925925927,92.22222222222223,1687564860000,1687824060000,112.40348645280852,2023
1687593600000,1687564500000,78.88888888888889,92.22222222222223,1687593660000,1687852860000,38.90745612313019,2023
1687622400000,1687564500000,78.51851851851852,92.22222222222223,1687622460000,1687881660000,-47.28822466094561,2023
1687651200000,1687650900000,78.14814814814814,91.11111111111111,1687651260000,1687910460000,-65.31950403154617,2023
1687680000000,1687650900000,77.77777777777779,91.11111111111111,1687680060000,1687939260000,166.88275996808954,2023
1687708800000,1687650900000,77.4074074074074,91.11111111111111,1687708860000,1687968060000,43.9401176459049,2023
1687737600000,1687737300000,77.03703703703704,88.88888888888889,1687737660000,1687996860000,107.15303818076684,2023
1687766400000,1687737300000,76.66666666666667,88.88888888888889,1687766460000,1688025660000,8.986162264547751,2023
1687795200000,1687737300000,76.29629629629629,88.88888888888889,1687795260000,1688054460000,-40.90240806151323,2023
1696867200000,1696809300000,76.29629629629629,80.0,1696867260000,1697126460000,264.3540108862481,2023
1697011200000,1696982100000,78.51851851851852,85.55555555555556,1697011260000,1697270460000,38.689458035419804,2023
1697068800000,1697068500000,82.22222222222221,96.66666666666667,1697068860000,1697328060000,-9.94069693392262,2023
