strategy,symbol,hold,n_events,mean_net_bp,std_net_bp,t_stat,null_mean_bp,null_percentile,edge_vs_null_bp,inference_scope
A2_contrarian,BTCUSDT,24h,1424,-0.8721816164287858,315.637436388294,-0.10427337146400609,-9.751786857554153,88.0,8.879605241125367,exploratory_uncorrected
A2_contrarian,BTCUSDT,72h,1421,3.5613643894229887,511.54587801823135,0.2624392942959743,-1.5393037153638807,62.5,5.10066810478687,exploratory_uncorrected
A3_momentum,BTCUSDT,24h,1424,-27.12781838357121,315.637436388294,-3.243256943319419,-18.88645854373647,15.5,-8.24135983983474,exploratory_uncorrected
A3_momentum,BTCUSDT,72h,1421,-31.561364389422984,511.54587801823135,-2.325777789539885,-25.45903305012282,32.0,-6.102331339300164,exploratory_uncorrected
