ts,rate,interval_hours,pctile,decile,fwd_ret_8h,fwd_ret_24h,fwd_ret_72h
1617235200025,0.00156864,8.0,87.03703703703704,8,-0.0021653634864936544,0.01816011286763386,0.03601531775029598
1617264000011,0.00109222,8.0,74.44444444444444,7,0.011792916998995207,0.03631617654675212,0.055758693197708764
1617292800004,0.00064672,8.0,53.333333333333336,5,0.008476701866819703,0.06587871559539105,0.06380049037925062
1617321600000,0.00050452,8.0,42.592592592592595,4,0.015628251655965153,0.0866989823109916,0.055919600030454486
1617350400000,0.00121799,8.0,80.0,7,0.04065589173088635,0.058592461543074625,0.015082911031814916
1617379200000,0.00116568,8.0,78.14814814814814,7,0.028175710395766274,-0.0032560306201344646,0.01900311676087396
1617408000003,0.00082856,8.0,62.96296296296296,6,-0.010640086690083095,-0.06364434646140049,-0.010896980793662636
1617436800000,0.00143194,8.0,82.22222222222221,8,-0.020144652484680114,-0.037626641739606614,-0.008951080644704401
1617465600000,0.00086456,8.0,64.07407407407408,6,-0.03411691584237131,0.0013105212694710655,0.0028426748124554813
1617494400000,0.00060523,8.0,50.37037037037037,5,0.016850401556342653,0.03772135481618211,0.054955853743702265
1617523200000,0.00106146,8.0,71.85185185185186,7,0.019499823397825855,-0.003610533338566091,0.016865507633138543
1617552000016,0.00038114,8.0,32.22222222222222,3,0.001005663473244045,0.02099382647733905,-0.05113485995294076
1617580800000,0.00072788,8.0,58.51851851851851,5,-0.02365020766036008,0.017934740809106176,-0.05367924165513005
1617609600001,0.00074688,8.0,59.62962962962963,5,0.044674859190988236,0.03352829965733184,-0.0005169561621174434
1617638400001,0.00085226,8.0,64.81481481481481,6,-0.0019935339749088676,-0.01906346318795782,-0.02477543287493056
1617667200010,0.00161366,8.0,88.51851851851852,8,-0.008693681143542742,-0.0013033438324920876,-0.017599863998904453
1617696000000,0.00064189,8.0,52.22222222222223,5,-0.008484103619439631,-0.012557044997665634,-0.008912834290831673
1617724800003,0.00061542,8.0,51.11111111111111,5,0.01607564103180059,-0.05258454605291596,-0.0069856491512965135
