symbol,horizon,n_events,mean_net_bp,t_stat,null_mean_bp,null_percentile,inference_scope
BTCUSDT,24h,166,26.52061098896217,1.4386511824984909,-28.92803973112556,100.0,exploratory_uncorrected
BTCUSDT,72h,166,97.95849032113603,3.4997399556710342,-55.90594277078559,100.0,exploratory_uncorrected
BTCUSDT,168h,164,29.21814997949516,0.5981820731730288,-106.26505471273181,99.5,exploratory_uncorrected
