ts,net_bp,year
1685059200000,-320.41409106015203,2023
1688112000000,151.93266239513406,2023
1688140800001,-124.19283746556584,2023
1688169600000,332.41542977632554,2023
1688198400000,292.9830437840237,2023
1688227200000,318.5392201739419,2023
1688342400000,380.33494995356534,2023
1688371200000,567.293795064487,2023
1690156800000,131.19623475068633,2023
1690588800000,221.05859114326233,2023
1690646400001,196.07819844457876,2023
1690675200000,223.1568830809656,2023
1694822400000,285.93116932954035,2023
1696809600000,451.3157237019434,2023
1696924800000,-14.943313167394155,2023
1698710400001,-513.9254172490564,2023
1698739200000,-581.20635789403,2023
1698768000000,-413.6270073481778,2023
1698796800000,-398.72549494593665,2023
1698825600000,-390.51552898189556,2023
1698854400000,-543.3379790940778,2023
1699056000000,-1345.75557033951,2023
1699084800000,-1240.7301019183342,2023
1699113600000,-1318.1461071568938,2023
1699142400000,-1082.2099596231499,2023
1699171200000,-940.5929961750063,2023
1699200000000,-1002.4539866826026,2023
1699228800000,-833.2284515112758,2023
1699257600001,-925.4318700553858,2023
1699286400000,-1097.265413434995,2023
1699488000000,-912.7972608688755,2023
1699516800000,-753.3882402110586,2023
1699545600000,233.81889106416654,2023
1699574400000,747.3758931389036,2023
1699603200000,628.0346127191767,2023
1699632000000,798.2223125594829,2023
1703203200000,-487.3369003031918,2023
1703232000000,-261.8316919380163,2023
1703260800000,-51.02523743509989,2023
1703635200000,-579.9777139554367,2023
1703664000000,-621.889921423701,2023
1703692800000,454.8544838895159,2023
1708041600000,-540.3456070590156,2024
1708070400000,-432.44361983558895,2024
1708848000000,-1233.5483813536678,2024
1708876800000,-1272.7421776193676,2024
1710115200000,600.3051072741367,2024
1710144000000,974.8558969325767,2024
1710172800000,1211.8180036656918,2024
1710201600000,1347.895955004918,2024
1710230400000,1668.851024596259,2024
1710259200000,1711.6479938341117,2024
1710288000000,2038.5337460710057,2024
1710316800001,2050.310175279077,2024
1710345600000,1700.8619181466395,2024
1710374400001,1240.379713019772,2024
1710403200000,1119.2057994361667,2024
1710432000000,930.9684189791951,2024
1710460800000,980.8329048843185,2024
1710518400000,936.5166410082278,2024
1711555200000,533.6341015993802,2024
1711584000000,533.8751955779393,2024
1711612800000,701.0184051137431,2024
1711641600000,589.0393473472029,2024
1711670400000,653.9052954185705,2024
1711699200000,663.0538243626067,2024
1711728000000,463.847838593618,2024
1711814400000,546.6562843522079,2024
1711872000000,658.4436073662877,2024
1711900800001,630.0517139129398,2024
1711929600000,517.5962698848053,2024
1711958400000,182.0308958673962,2024
1726790400000,-683.2972460024249,2024
1726819200001,-396.5565459805791,2024
1726848000000,-503.64306795038493,2024
1727683200001,577.5592375155121,2024
1727712000000,447.8941203668037,2024
1727740800000,677.5677634306228,2024
1727769600000,808.8135329132969,2024
1727798400001,407.61369580724363,2024
1727827200000,22.6518644289171,2024
1727884800000,-19.081032303171362,2024
1728086400000,-109.9044849328472,2024
1728115200000,-138.68476825031382,2024
1728547200000,-985.9120587388197,2024
1728576000000,-946.0846207908961,2024
1728892800000,-753.1830476273076,2024
1728921600000,-168.1662403219757,2024
1728950400000,-158.22327420673398,2024
1728979200000,-128.7061634018165,2024
1729008000000,-203.3683318957806,2024
1729036800000,-82.36649351247281,2024
1729065600001,8.7664711969644,2024
1729094400000,249.79825028644666,2024
1729123200000,330.0042244790198,2024
1729152000000,311.5051302439016,2024
1729180800001,366.94441041871875,2024
1729209600010,236.74636041235277,2024
1729238400001,587.2774448074931,2024
1729267200000,481.3702830633444,2024
1729296000000,727.23871818082,2024
1729324800000,656.9651039083464,2024
1729353600000,695.1791019383542,2024
1729382400000,611.821362215071,2024
1729411200000,615.4054985154473,2024
1729440000000,723.1760503751157,2024
1729900800000,-292.7777141454639,2024
1729929600001,-188.62448636874404,2024
1729958400000,-143.68727746241137,2024
1730073600000,192.68360772799653,2024
1730102400001,187.57438950619056,2024
1730131200000,220.3834383438348,2024
1730160000000,644.7360652735508,2024
1730188800000,643.1546637893433,2024
1730217600004,787.7081377978296,2024
1730246400000,801.0808715716252,2024
1730275200000,250.75046314489379,2024
1731888000000,-936.199102672474,2024
1731916800000,-852.1959989031106,2024
1731945600000,-1219.574448222979,2024
1731974400000,-625.6429415055635,2024
1732003200000,-891.0648783331092,2024
1732032000000,-642.01294540068,2024
1732060800003,-714.5717376187893,2024
1732089600000,-1033.5089027447457,2024
1732118400000,-1375.719368093306,2024
1732204800001,-801.7612675178791,2024
1732233600000,-670.3021237501454,2024
1732262400000,-549.4335380142983,2024
1732291200001,-947.2721160148739,2024
1732320000000,-815.8741753898762,2024
1732348800000,-1096.9769237896269,2024
1732377600000,-648.4548868376698,2024
1732406400001,-925.7390894967281,2024
1732435200000,-829.14648235119,2024
1732464000000,-1339.4066139703857,2024
1732665600000,-905.5318457929877,2024
1732694400000,-871.9861809887967,2024
1732723200001,-766.8241088008803,2024
1733184000000,-196.06760316066718,2024
1733212800000,-323.9657496409236,2024
1733241600000,24.774002954210516,2024
1745222400005,-970.2841530054644,2025
1745251200003,-856.3614962716464,2025
1745337600000,-647.9257471560611,2025
1745366400000,-226.07937779444296,2025
1745395200002,-61.627575862725365,2025
1745424000000,148.15672916922608,2025
1745452800000,-5.028091546902967,2025
1745481600001,-315.3220169290976,2025
1745568000002,-233.45549820732157,2025
1746835200001,-798.7614982392481,2025
1746864000000,-378.5141822570919,2025
1746892800001,-164.84754122618006,2025
1746921600000,384.80242776317186,2025
1746950400001,-148.00132307146205,2025
1747008000004,86.17392134934356,2025
1747036800000,564.7265741394187,2025
1747094400000,-148.3385331034197,2025
1747123200008,-306.15335209026085,2025
1747152000001,279.9854707167333,2025
1747180800007,562.4692704054963,2025
1748332800001,23.31343283582045,2025
1748361600005,155.35350715239994,2025
1748390400002,237.00133511348432,2025
1748419200003,17.74494811578277,2025
1748448000002,-144.5678599266158,2025
1748476800000,263.93004948519774,2025
1748505600006,428.783314199362,2025
1748534400000,184.98839991519534,2025
1748563200003,847.804659634211,2025
1748592000003,608.5151385405836,2025
1748678400000,107.9246161595744,2025
1748736000001,-4.8125725192953315,2025
1748880000000,17.864673485444417,2025
1749513600000,525.9394760310894,2025
1749542400001,346.77201627655154,2025
1749571200003,872.2043795620444,2025
1749600000000,1061.0650606521717,2025
1749628800000,913.6105611506669,2025
1749657600010,1217.6735024983127,2025
1749715200003,781.5856790195593,2025
1750377600000,406.72224713216144,2025
1750406400002,401.3486291101183,2025
1751500800006,-790.1822811621499,2025
1751529600003,-742.1375918350075,2025
1751817600004,-1703.3802229773835,2025
1761523200000,583.7570552975297,2025
1761552000005,1138.6778120063764,2025
1762012800000,1300.9585242554674,2025
1762070400000,1229.9904769218956,2025
1762128000000,811.4293770827992,2025
1762243200004,-202.81146999523145,2025
1762531200005,305.9056801064426,2025
1762588800015,802.8350578563699,2025
1762992000002,1151.5343546114239,2025
1763020800000,1406.1014539853895,2025
1763251200001,1235.8973448644,2025
1763280000000,1323.1339243066193,2025
1763308800000,836.7781152856642,2025
1763337600003,947.4035768195206,2025
1763366400003,1147.8527110938815,2025
1763424000002,260.7479687154075,2025
1763452800004,410.0984526048364,2025
1763510400000,510.94010019603627,2025
1763539200000,438.9295760029062,2025
1763596800000,-22.33810347851127,2025
1763625600000,0.29493682560178947,2025
1763798400000,-918.0190327443098,2025
1764633600004,-1185.2716663806423,2025
1764835200000,-54.18257959603977,2025
1764864000011,70.05695771869559,2025
1764921600000,-244.690367659816,2025
1766476800000,35.214225238566335,2025
1766649600001,-137.65905722715453,2025
1766966400016,-719.6970404720042,2025
1766995200001,-478.2291350430505,2025
1767369600000,-96.30906080176848,2026
1767744000001,-139.68525203904056,2026
1767772800001,-268.75182360640724,2026
1768291200009,-9.771629556309268,2026
1772640000000,458.6572851145738,2026
1773619200000,576.9940277726888,2026
1773648000010,911.5035939302514,2026
1773676800000,612.4440913832037,2026
1775030400000,-586.4632242569805,2026
1776844800000,263.90560496657514,2026
1776873600000,549.7205975313564,2026
1778284800000,346.05446566408136,2026
1778313600001,506.44898770381985,2026
1778342400002,576.5098483113802,2026
1778544000002,875.9849423359907,2026
1778601600000,659.1215597851315,2026
1778889600005,706.2831482705751,2026
1778918400000,756.6955301663654,2026
1778947200005,521.1411661531813,2026
1778976000000,278.6426770570711,2026
1779004800010,283.2608068834515,2026
1779033600009,405.29037539041315,2026
1780272000001,1587.9298918921609,2026
1780300800001,1545.4751123891292,2026
1780329600000,1418.7847548656302,2026
1784044800001,-344.5692274769956,2026
1784131200000,-71.15085130415743,2026
