ts,oi_chg_24h,horizon,gross_ret,net_bp,year
1680566100000,neg5pct,24h,0.014048848649855561,126.4884864985556,2023
1681516500000,neg5pct,24h,-0.0055948648071840745,-69.94864807184075,2023
1682553300000,neg5pct,24h,0.03807409756355362,366.7409756355362,2023
1683417300000,neg5pct,24h,-0.01577469670710563,-171.74696707105628,2023
1683762900000,neg5pct,24h,-0.022721262421162014,-241.21262421162015,2023
1685145300000,neg5pct,24h,0.005258505745404429,38.58505745404429,2023
1686095700000,neg5pct,24h,-0.03200899632870413,-334.0899632870413,2023
1686182100000,neg5pct,24h,0.005512507545529566,41.12507545529566,2023
1688169300000,neg5pct,24h,0.003435749515155795,20.35749515155795,2023
1688687700000,neg5pct,24h,0.0124394723660044,110.39472366004401,2023
1689378900000,neg5pct,24h,-0.0009012339973193395,-23.012339973193395,2023
1690156500000,neg5pct,24h,-0.029584165003326612,-309.84165003326615,2023
1692057300000,neg5pct,24h,-0.007882526895426567,-92.82526895426567,2023
1692316500000,neg5pct,24h,-0.022155558225452898,-235.55558225452899,2023
1692402900000,neg5pct,24h,0.001171081580230604,-2.2891841976939595,2023
1692489300000,neg5pct,24h,0.003800604414990749,24.006044149907495,2023
1693526100000,neg5pct,24h,-0.00451050070802117,-59.1050070802117,2023
1694822100000,neg5pct,24h,-0.0028966450013149236,-42.966450013149235,2023
1696031700000,neg5pct,24h,0.0021864019186792483,7.864019186792483,2023
1697500500000,neg5pct,24h,-0.0033695560609889874,-47.695560609889874,2023
1697673300000,neg5pct,24h,0.013213446625095049,118.13446625095048,2023
1698969300000,neg5pct,24h,-0.006200080758557713,-76.00080758557714,2023
1699574100000,neg5pct,24h,0.01554175878864017,141.4175878864017,2023
1701561300000,neg5pct,24h,0.013428212174371401,120.28212174371401,2023
1702338900000,neg5pct,24h,0.006288012794106956,48.88012794106956,2023
1704326100000,neg5pct,24h,0.03119841030778092,297.9841030778092,2024
1704498900000,neg5pct,24h,-0.003919106380277815,-53.191063802778146,2024
1704844500000,neg5pct,24h,0.011697238748649363,102.97238748649363,2024
1709164500000,neg5pct,24h,-0.0187458502987784,-201.458502987784,2024
1709682900000,neg5pct,24h,0.03606445922892676,346.6445922892676,2024
1710546900000,neg5pct,24h,-0.06021381120338498,-616.1381120338498,2024
1712102100000,neg5pct,24h,0.009512125439053332,81.12125439053332,2024
1713052500000,neg5pct,24h,0.022328078475046143,209.28078475046144,2024
1714607700000,neg5pct,24h,0.013436895468327714,120.36895468327714,2024
1716249300000,neg5pct,24h,-0.01696510216170266,-183.6510216170266,2024
1716508500000,neg5pct,24h,0.008931015301482548,75.31015301482547,2024
1720223700000,neg5pct,24h,0.027012434295151655,256.12434295151655,2024
