ts,leg,net_bp,year
1618041600005,top,127.5465756499701,2021
1618761600000,bottom,-242.63305376413567,2021
1618790400000,bottom,-101.25830635203491,2021
1618819200000,bottom,-540.0741931343172,2021
1618848000009,bottom,111.9902031387039,2021
1618876800004,bottom,128.81763888340126,2021
1618905600000,bottom,181.16942824869378,2021
1618934400001,bottom,122.73432245987493,2021
1618963200013,bottom,-462.50083100296143,2021
1618992000001,bottom,-210.4305166135061,2021
1619020800002,bottom,-293.1023583114427,2021
1619049600000,bottom,-432.3592880978859,2021
1619078400000,bottom,-1132.6023739184493,2021
1619107200001,bottom,-900.1951408461289,2021
1619136000002,bottom,-135.6216216216215,2021
1619193600001,bottom,76.1085101878718,2021
1619222400019,bottom,-215.69044361930898,2021
1619366400000,bottom,649.4227745153831,2021
1619395200003,bottom,958.7132830844898,2021
1619424000002,bottom,286.50029796977907,2021
1619452800004,bottom,238.70506719120345,2021
1619481600000,bottom,198.66690272210064,2021
1619510400000,bottom,-72.75592086932446,2021
1619539200009,bottom,-131.74724378646462,2021
1619568000000,bottom,-34.06339939768065,2021
1619596800000,bottom,24.856938866840274,2021
1619625600001,bottom,-136.87347621066536,2021
1619654400004,bottom,-275.9347226466984,2021
1619683200013,bottom,-9.978247629342395,2021
1619712000003,bottom,645.7340448294653,2021
1619740800004,bottom,743.4155136324756,2021
1619769600019,bottom,606.3129792161377,2021
1619798400003,bottom,10.460785768269933,2021
1619856000006,bottom,-187.47483665510643,2021
1620892800000,bottom,-183.52075478739448,2021
1621036800022,bottom,-604.0144060615031,2021
1621209600005,bottom,-648.0934387519414,2021
1621382400000,bottom,-1365.1362057299448,2021
1621440000018,bottom,1010.1047194120044,2021
1621468800005,bottom,1068.8048814246727,2021
1621497600000,bottom,16.19377306747506,2021
1621526400005,bottom,-1120.1697627149824,2021
1621555200000,bottom,-829.8381476154597,2021
1621584000000,bottom,-932.5055923218388,2021
1621612800001,bottom,547.7208635563009,2021
1621641600001,bottom,-152.89162917510745,2021
1621670400002,bottom,-243.40970293453543,2021
1621699200005,bottom,-1288.8360409835036,2021
1621728000006,bottom,-500.63941799564014,2021
1621756800004,bottom,206.9153215899251,2021
1621785600002,bottom,1261.6141042588642,2021
1621814400007,bottom,958.4391680194988,2021
1621843200005,bottom,696.1181302879822,2021
1621872000005,bottom,47.17257044176316,2021
1621900800000,bottom,-88.94843994599543,2021
1621929600014,bottom,346.18977746473223,2021
1621958400000,bottom,174.86270174442333,2021
1621987200022,bottom,194.01338980021012,2021
