[2026-08-11T03:28:54Z] Fetching Hyperliquid funding history for ETH from 2023-01-01
[2026-08-11T03:29:10Z]   hyperliquid ETH page 49: got 500 recs (new=500), max_ts=1774098000015, total=24500
[2026-08-11T03:29:10Z]   hyperliquid ETH page 50: got 500 recs (new=500), max_ts=1775898000042, total=25000
[2026-08-11T03:29:10Z]   hyperliquid ETH page 51: got 500 recs (new=500), max_ts=1777698000004, total=25500
[2026-08-11T03:29:11Z]   hyperliquid ETH page 52: got 500 recs (new=500), max_ts=1779498000002, total=26000
[2026-08-11T03:29:15Z]   hyperliquid ETH page 53: got 500 recs (new=500), max_ts=1781298000026, total=26500
[2026-08-11T03:29:16Z]   hyperliquid ETH page 54: got 500 recs (new=500), max_ts=1783098000007, total=27000
[2026-08-11T03:29:16Z]   hyperliquid ETH page 55: got 500 recs (new=500), max_ts=1784898000024, total=27500
[2026-08-11T03:29:20Z]   hyperliquid ETH page 56: got 422 recs (new=422), max_ts=1786417200120, total=27922
[2026-08-11T03:29:20Z]   hyperliquid ETH page 57: empty list, stopping at cur_start=1786417200121
[2026-08-11T03:29:20Z] DONE ETH: 27922 records, range 1683849600048..1786417200120 -> /mnt/e/Datas/market/hyperliquid/funding/ETH/ETH-funding-history.json
