conditioning_symbol,regime,asset_x,asset_y,n_intervals,regime_information_lag_calendar_days,median_return_horizon_calendar_days,max_return_horizon_calendar_days,pearson_correlation,spearman_correlation,hac_beta_y_on_x,hac_beta_standard_error,hac_beta_p_value,downside_correlation_x_bottom_20pct,lower_tail_probability_y_given_x,lower_tail_lift_vs_independence,joint_lower_tail_share,hac_beta_fdr_q_value
BTCUSDT,uptrend_high_vol,ETHUSDT,DJIA,171,1,1,4,0.3182021565,0.2969592243,0.05344202636,0.01525430684,0.0005879268481,0.398504154,0.3333333333,3.333333333,0.0350877193,0.0008017184292
BTCUSDT,downtrend_low_vol,ETHUSDT,DJIA,338,1,1,4,0.4293951496,0.3681556085,0.09759387019,0.01320957157,1.188800749e-12,0.3614885054,0.4117647059,4.117647059,0.04142011834,3.343502108e-12
BTCUSDT,downtrend_high_vol,ETHUSDT,DJIA,242,1,1,4,0.4348279096,0.4660151962,0.1050437447,0.0281290051,0.0002351269661,0.3739526028,0.28,2.8,0.02892561983,0.0003413133379
BTCUSDT,all,ETHUSDT,NASDAQ100,1399,,1,4,0.3903680269,0.3869754213,0.1163791433,0.01244466581,3.307338073e-20,0.2419556909,0.35,3.5,0.03502501787,1.653669036e-19
BTCUSDT,uptrend_low_vol,ETHUSDT,NASDAQ100,454,1,1,4,0.3630105077,0.3272342618,0.1105585992,0.01747334948,6.012178695e-10,0.2944424734,0.3260869565,3.260869565,0.03303964758,1.591459066e-09
BTCUSDT,uptrend_high_vol,ETHUSDT,NASDAQ100,171,1,1,4,0.3319194969,0.3128278974,0.08220206618,0.01754210483,5.70648713e-06,0.417609251,0.3333333333,3.333333333,0.0350877193,9.87661234e-06
BTCUSDT,downtrend_low_vol,ETHUSDT,NASDAQ100,338,1,1,4,0.5277547432,0.4713144156,0.1947327027,0.01942820708,7.358840517e-21,0.3707801305,0.4411764706,4.411764706,0.04437869822,4.139347791e-20
BTCUSDT,downtrend_high_vol,ETHUSDT,NASDAQ100,242,1,1,4,0.4820167699,0.5234968402,0.1823470227,0.0422427081,2.317956763e-05,0.2680331453,0.36,3.6,0.03719008264,3.863261272e-05
BTCUSDT,all,ETHUSDT,NIKKEI225,1363,,1,7,0.1069748763,0.06005301645,0.03144860917,0.01147411162,0.006208556667,0.2375593571,0.1678832117,1.678832117,0.01687454145,0.007760695834
BTCUSDT,uptrend_low_vol,ETHUSDT,NIKKEI225,439,1,1,7,0.04593130446,0.01908290948,0.01345628733,0.01666425173,0.4198210881,0.2244730057,0.06818181818,0.6818181818,0.006833712984,0.4393476503
BTCUSDT,uptrend_high_vol,ETHUSDT,NIKKEI225,173,1,1,5,0.2854130113,0.06719942892,0.09498816903,0.07076000252,0.1812460357,0.6382319138,0.1666666667,1.666666667,0.01734104046,0.2039017901
BTCUSDT,downtrend_low_vol,ETHUSDT,NIKKEI225,323,1,1,6,0.1062542911,0.06063396627,0.03358444882,0.02026463256,0.09843706838,0.343155673,0.09090909091,0.9090909091,0.009287925697,0.1135812327
BTCUSDT,downtrend_high_vol,ETHUSDT,NIKKEI225,240,1,1,5,0.05892031734,0.07037188146,0.02268346013,0.02527239054,0.3703277882,0.1027954066,0.1666666667,1.666666667,0.01666666667,0.3967797731
BTCUSDT,all,ETHUSDT,SP500,1399,,1,4,0.3916368316,0.375663803,0.08541317183,0.00940633083,3.58934034e-19,0.2836174732,0.3357142857,3.357142857,0.0335954253,1.468366503e-18
BTCUSDT,uptrend_low_vol,ETHUSDT,SP500,454,1,1,4,0.3518392887,0.3200388432,0.07774135055,0.0131298241,6.339123576e-09,0.3301766794,0.2826086957,2.826086957,0.02863436123,1.426302805e-08
BTCUSDT,uptrend_high_vol,ETHUSDT,SP500,171,1,1,4,0.3489212042,0.3175246598,0.06309649584,0.01632390974,0.0001579897891,0.4620424731,0.3333333333,3.333333333,0.0350877193,0.0002369846837
BTCUSDT,downtrend_low_vol,ETHUSDT,SP500,338,1,1,4,0.5307096066,0.4502568412,0.1411695564,0.0146837846,1.723295347e-19,0.4402990137,0.4705882353,4.705882353,0.04733727811,7.75482906e-19
BTCUSDT,downtrend_high_vol,ETHUSDT,SP500,242,1,1,4,0.461511073,0.5131405424,0.1325093272,0.03349062338,0.0001001449977,0.3202079537,0.32,3.2,0.03305785124,0.0001553974102
