symbol,regime,start_date,end_date,observations,calendar_days,cumulative_next_return,max_drawdown
BTCUSDT,downtrend_low_vol,2023-06-15 00:00:00+00:00,2023-06-19 00:00:00+00:00,5,5,0.1057019241,-0.006759993813
BTCUSDT,uptrend_low_vol,2023-06-20 00:00:00+00:00,2023-07-14 00:00:00+00:00,25,25,0.07019292627,-0.04091945167
BTCUSDT,downtrend_low_vol,2023-07-15 00:00:00+00:00,2023-07-15 00:00:00+00:00,1,1,-0.001968529944,-0.001968529944
BTCUSDT,uptrend_low_vol,2023-07-16 00:00:00+00:00,2023-07-16 00:00:00+00:00,1,1,-0.003001641471,-0.003001641471
BTCUSDT,downtrend_low_vol,2023-07-17 00:00:00+00:00,2023-07-17 00:00:00+00:00,1,1,-0.009310863338,-0.009310863338
BTCUSDT,uptrend_low_vol,2023-07-18 00:00:00+00:00,2023-07-25 00:00:00+00:00,8,8,-0.01707454365,-0.03016215066
BTCUSDT,downtrend_low_vol,2023-07-26 00:00:00+00:00,2023-07-27 00:00:00+00:00,2,2,-0.001230569948,-0.004305290428
BTCUSDT,uptrend_low_vol,2023-07-28 00:00:00+00:00,2023-08-02 00:00:00+00:00,6,6,-0.004085338175,-0.0178814324
BTCUSDT,downtrend_low_vol,2023-08-03 00:00:00+00:00,2023-08-03 00:00:00+00:00,1,1,-0.002710742216,-0.002710742216
BTCUSDT,uptrend_low_vol,2023-08-04 00:00:00+00:00,2023-08-16 00:00:00+00:00,13,13,-0.08561188409,-0.1058268087
BTCUSDT,downtrend_low_vol,2023-08-17 00:00:00+00:00,2023-08-28 00:00:00+00:00,12,12,0.04097753827,-0.02275110204
BTCUSDT,uptrend_low_vol,2023-08-29 00:00:00+00:00,2023-08-30 00:00:00+00:00,2,2,-0.06397449829,-0.06397449829
BTCUSDT,downtrend_low_vol,2023-08-31 00:00:00+00:00,2023-09-02 00:00:00+00:00,3,3,0.0013151805,-0.005106448627
BTCUSDT,uptrend_low_vol,2023-09-03 00:00:00+00:00,2023-09-03 00:00:00+00:00,1,1,-0.005704469207,-0.005704469207
BTCUSDT,downtrend_low_vol,2023-09-04 00:00:00+00:00,2023-09-07 00:00:00+00:00,4,4,0.003323777795,-0.01299126929
BTCUSDT,uptrend_low_vol,2023-09-08 00:00:00+00:00,2023-09-08 00:00:00+00:00,1,1,-0.0002779944247,-0.0002779944247
BTCUSDT,downtrend_low_vol,2023-09-09 00:00:00+00:00,2023-09-11 00:00:00+00:00,3,3,-0.00257988769,-0.02866456053
