pair,model,buffer_or_M_over_N,h,C_over_N,scaled_ann_return,ann_rebalances,ann_cost_bp
A_BTC,U,0.004209968774336813,0.9,1.1157888541937075,0.07675406420995971,30.819833087874326,42.09968774336813
A_BTC,U,0.004209968774336813,0.95,1.0570631250256177,0.0810181788882908,30.819833087874326,42.09968774336813
A_BTC,S,0.4,,1.4,0.061172378113958,30.819833087874326,42.09968774336813
B_ETH,U,0.006928118180788974,0.9,1.1188090202008767,0.08071027801324832,42.10849288168876,69.28118180788974
B_ETH,U,0.006928118180788974,0.95,1.0599243349271463,0.08519418234731765,42.10849288168876,69.28118180788974
B_ETH,S,0.4,,1.4,0.06449956218867336,42.10849288168876,69.28118180788974
C_HYPE,U,0.008797297589656545,0.9,1.1208858862107296,0.06401302986282009,56.798469387755105,87.97297589656544
C_HYPE,U,0.008797297589656545,0.95,1.0618918921996385,0.06756930929964343,56.798469387755105,87.97297589656544
C_HYPE,S,0.4,,1.4,0.05125092979058642,56.798469387755105,87.97297589656544
