detect_ts,entry_px,exit_px,net_ret_bp
1677808560000,22330.1,22337.0,-10.910000403043117
1679514420000,27222.4,28183.0,338.87116492300316
1682538120000,28153.3,29603.0,500.9307541211879
1692308700000,26297.8,26086.9,-94.19682254789329
1697466600000,28111.7,28437.5,101.89480536573716
1698104520000,33473.2,33846.9,97.64155204760995
1702260720000,42093.2,41834.9,-75.36383073750528
1704283260000,42520.8,43375.5,187.0075069142614
1704838440000,46103.4,47491.8,287.1491560275381
1709144100000,61314.6,61091.5,-50.386113584692126
1709668500000,62223.1,67170.6,781.1227116617465
1710473220000,68210.4,69231.4,135.68391916775124
1713038520000,62342.8,63813.5,221.90534913414228
1722820080000,54280.8,55703.6,248.11846546108308
1724796840000,59210.2,59066.9,-38.20191115719894
1737394860000,103919.9,106945.1,277.1088251624583
1738548420000,94155.6,100820.0,693.8070767962807
1760130960000,113286.3,110777.8,-235.43012879756841
1770336600000,64535.2,69864.8,811.843880548911
