detect_ts,entry_px,exit_px,net_ret_bp
1674058860000,1549.53,1527.46,-156.4302853123205
1677807360000,1564.34,1568.91,15.213598066917257
1678395540000,1431.22,1429.11,-28.742667095206663
1682537940000,1832.09,1920.33,467.63572750246965
1686776220000,1654.62,1648.35,-51.893897088152606
1692308520000,1638.45,1682.23,253.20375965088914
1702260960000,2244.64,2247.88,0.43438591489210054
1704284400000,2225.59,2224.08,-20.78471776023537
1709143920000,3323.48,3356.48,85.29351162035083
1709667420000,3373.53,3585.96,615.6964900267676
1712946900000,3229.09,3230.95,-8.239863243206123
1713038160000,2912.63,2968.83,178.95276090680824
1720148340000,2919.91,2880.99,-147.29177954115033
1722793500000,2700.56,2738.15,125.19335248985476
1724795280000,2448.16,2454.8,13.122410299982302
1733778240000,3694.17,3750.46,138.37522907716848
1736778900000,3062.0,3013.25,-173.20966688438898
1740468300000,2401.24,2439.81,146.62534357248916
1743963660000,1628.0,1542.86,-536.9729729729737
1744008600000,1455.8,1478.18,139.7299079543897
1746783240000,2332.19,2329.39,-26.00588288261306
1748001600000,2546.84,2567.26,66.1777889463029
1749156180000,2439.88,2416.92,-108.10298867157385
1749774900000,2486.3,2513.27,94.47443993081907
1750541460000,2299.33,2260.2,-184.1800089591321
1755176640000,4594.24,4538.18,-136.02235843142617
1760130720000,3890.06,3768.37,-326.82293846367384
1769880060000,2381.56,2412.91,117.63640638908848
1770305100000,1982.06,1855.67,-651.6698989939755
