detect_ts,entry_px,exit_px,net_ret_bp
1673660400000,1562.52,1524.26,-258.8608657809182
1673742780000,1524.48,1566.45,261.30698992443314
1673856600000,1540.85,1568.54,165.70600642502444
1674057300000,1518.87,1534.62,89.69551047818337
1674299460000,1649.45,1621.99,-180.47973566946584
1674599400000,1556.47,1601.81,277.3001856765618
1674687360000,1612.58,1602.5,-76.50852670875219
1674783600000,1571.9,1594.92,132.44697499840876
1675070040000,1593.56,1568.68,-170.12841687793312
1675366920000,1674.77,1658.76,-109.59521605951859
1675796160000,1655.89,1648.68,-57.54153959502116
1675911900000,1612.75,1540.39,-462.67462408928805
1675970700000,1568.01,1530.04,-256.1540678949752
1676239620000,1512.13,1490.81,-154.99316857677735
1676671800000,1696.82,1692.39,-40.107660211452945
1677255000000,1590.51,1596.62,24.41535105091998
1677620700000,1612.21,1653.45,241.79794195545347
1677806700000,1565.84,1571.32,20.997190006642583
1678389120000,1480.98,1425.65,-387.6039649421319
1678459380000,1405.69,1431.49,169.5397562762764
1678521240000,1437.79,1459.8,139.08216081625358
1678802520000,1763.74,1649.72,-660.4671663623889
1679270700000,1772.36,1748.04,-151.21817238032895
1679658600000,1773.8,1743.09,-187.13113090540065
1680147300000,1796.83,1801.75,13.381555294603288
1680552660000,1777.7,1874.8,532.2113967486082
1681892160000,1983.79,1950.26,-183.0199063408926
1681947060000,1942.54,1935.19,-51.83705869634502
1682104020000,1842.52,1873.57,154.51920196252922
1682537220000,1822.58,1914.47,490.1753997081066
1682907300000,1842.12,1824.18,-111.38779232623229
1683504000000,1878.43,1841.34,-211.45212757462437
1683568860000,1827.31,1845.09,83.30149783014453
1683738900000,1826.63,1783.09,-252.3624488812741
1685981100000,1805.41,1859.97,288.20282373532916
1686371760000,1769.36,1753.58,-103.18478998055757
1686773400000,1648.67,1672.24,128.96372227310394
1687798500000,1846.85,1900.95,278.9312071906231
1688132460000,1848.0,1922.01,386.48701298701195
1688646780000,1902.8,1865.62,-209.39625814589013
1689359220000,1921.6,1936.67,64.42422980849362
1692286800000,1746.2,1662.0,-496.18989806436906
1693501200000,1659.0,1605.84,-334.43399638336354
1696202220000,1728.5,1663.47,-390.2221579404101
1696272000000,1665.59,1651.12,-100.87612197479599
1697466540000,1581.79,1574.91,-57.4950277849766
1698161400000,1781.99,1795.1,59.569436416589525
1698331080000,1776.22,1783.89,29.18158786636772
1699546560000,2021.1,2099.23,372.57166889317864
1699895880000,2084.38,2016.01,-342.01120716951846
1699988100000,1974.98,2046.87,350.00368611327673
1700149800000,2004.6,1918.14,-445.30799161927524
1702260900000,2238.96,2240.85,-5.558580769643871
1702560600000,2291.84,2249.8,-197.4333984920411
1703006400000,2151.67,2231.43,356.688813805089
1703103000000,2189.64,2238.21,207.8172850331568
1704283200000,2236.25,2235.08,-19.23197316936841
1704891600000,2380.04,2636.87,1065.0995109325886
1704989400000,2612.31,2619.55,13.71493429187366
1705079340000,2603.0,2556.61,-192.21744141375274
