detect_ts,entry_px,exit_px,net_ret_bp
1673480100000,1389.07,1416.94,-210.69146188264986
1673656620000,1501.7,1525.97,-173.0463770585271
1676386980000,1558.32,1573.18,-108.45835822982862
1678642200000,1509.79,1665.16,-947.0634893944134
1678718040000,1635.25,1742.37,-628.7947910030582
1678799100000,1755.17,1675.41,462.0625757277315
1681432800000,2106.99,2092.02,57.557633292222974
1685312220000,1911.67,1887.27,115.28727739009327
1692312180000,1639.5,1663.18,-156.37785447155483
1693319160000,1695.0,1711.6,-110.98527693386305
1696198980000,1724.84,1654.42,411.64765899831826
1698101760000,1768.4,1789.33,-130.97115680170734
1702264320000,2236.53,2237.89,-20.077153032542082
1710142800000,4013.24,4024.27,-41.4086977265442
1710956100000,3309.78,3502.9,-565.314625024979
1712950500000,3229.09,3212.73,36.92242423110571
1714586760000,2971.07,2994.01,-90.6196505689698
1718400960000,3527.58,3559.4,-103.39708939708967
1722823800000,2287.87,2507.63,-890.3653330036736
1722867600000,2398.76,2542.08,-577.790281973816
1723081440000,2437.96,2668.24,-877.0408059245032
1723158000000,2715.49,2598.02,438.15202346402083
1726805280000,2539.42,2541.7,-22.97037415902635
1729000800000,2682.73,2605.0,284.3877159309012
1731510000000,3306.49,3093.59,674.1972077747855
1734704460000,3317.82,3404.51,-268.63282528175864
1736782440000,3051.24,3200.41,-480.0965313819165
1738012500000,3193.81,3111.77,249.64416393242385
1738551960000,2505.99,2796.11,-1051.584358269168
1738595280000,2622.14,2808.61,-677.9227233400158
1738710720000,2727.33,2781.1,-207.340764445723
1740472620000,2411.16,2466.23,-237.29628623445564
1740936900000,2465.28,2282.41,787.2145057198338
1741109400000,2116.34,2210.89,-441.65583090972336
1741598400000,2132.25,1914.22,1125.0017866284952
1744014900000,1503.39,1560.38,-379.23154616183274
1744221900000,1620.21,1515.49,676.9976311292065
1745358540000,1777.56,1790.16,-84.38477007641819
1746738840000,2185.25,2332.14,-643.8506950697636
1750700100000,2274.41,2449.32,-728.1165711299479
1752182580000,2904.65,2991.27,-303.57599949185453
1760134380000,3883.01,3734.82,382.7794967361216
1761058800000,4013.56,3849.24,412.8894638941712
1769888580000,2385.94,2337.5,193.22994652406345
1770007500000,2250.44,2351.2,-442.5471248724049
1770150300000,2233.6,2168.58,285.82753691355725
1770232500000,2152.5,1941.38,1073.473858801471
1770340500000,1900.67,2037.34,-684.8256844709271
1771982160000,1906.5,2058.51,-752.446740603641
1773026340000,2002.59,2043.21,-212.8048218244831
1779569700000,2140.62,2091.0,223.3027259684357
1780870800000,1683.95,1691.21,-56.927844560994856
