detect_ts,entry_px,exit_px,net_ret_bp
1673660400000,1556.82,1557.85,-7.383949332614868
1673743200000,1521.72,1575.84,341.65018531661383
1673856900000,1538.46,1530.2,-67.69005369005308
1674057300000,1522.0,1653.22,848.1550591327209
1674599400000,1564.41,1593.04,169.0082906654895
1674687360000,1598.1,1568.7,-197.96846254927658
1675106100000,1548.88,1671.42,777.1523165125756
1675375200000,1650.9,1632.6,-124.84862802108076
1675796400000,1650.81,1526.49,-767.0848492558196
1675970700000,1572.77,1539.71,-224.20238178500296
1676239800000,1509.73,1670.3,1049.5676577931142
1677620700000,1607.83,1560.85,-306.1950703743559
1677807300000,1560.55,1558.7,-25.854794783889844
1678394280000,1433.16,1536.66,708.1803566942975
1678521600000,1425.37,1665.78,1672.6497821618243
1678802520000,1741.25,1724.45,-110.48241206030139
1679658600000,1780.0,1762.29,-113.49438202247252
1680147300000,1787.89,1816.67,146.97187187131158
1680552900000,1789.05,1875.2,467.5404823789171
1681892160000,1987.23,1850.01,-704.5088993221719
1681947060000,1929.79,1872.42,-311.28623321708557
1682104200000,1848.78,1831.53,-107.30477395904313
1682537220000,1824.51,1902.24,412.0321949454915
1682907900000,1843.15,1900.46,296.93508395952483
1683569100000,1825.22,1784.5,-237.0963938593711
1683739200000,1822.55,1792.47,-179.04348303201465
1685981100000,1813.41,1848.18,177.7382169503856
1686773400000,1657.78,1723.8,384.2434339900354
1687799100000,1848.57,1853.52,12.777455005762008
1688132460000,1853.41,1965.73,592.0180963737105
1688646780000,1904.99,1874.81,-172.42602848308962
1689359220000,1915.68,1884.94,-174.46521339680987
1692286800000,1730.74,1669.31,-368.93488334469635
1693501200000,1659.3,1627.39,-206.31001024528348
1696202220000,1735.0,1647.88,-516.1325648414976
1696272000000,1658.27,1616.87,-263.6577758748586
1697466540000,1586.09,1560.47,-175.52929531111027
1698161760000,1774.0,1782.96,36.50732807215353
1698331080000,1785.19,1792.25,25.547611178640807
1699546560000,2019.3,2055.34,164.4776902887142
